Index,globalInd,opt,timeOpt,locOpt,catOpt,modelOpt,encDim,denom,max_depth,learning_rate,n_estimators,reg_lambda,gamma,colsample_bytree,objmean,objsd,meantop5,sdtop5,meanbottom5,sdbottom5,meantime,long5time,bestobj,wf1top5,acctop5
10,190,0,1dpos,raw,WTE,XG,,,9,0.076613232761356,500,0.0016921292891859,0.5536184393142276,0.6166620596926962,0.9790591025894444,0.0005820224783129,0.9797588456216644,0.000108266961357,0.9777031033801146,0.0005116496977878,0.0,0.0,0.9798379126309548,0.6267991839244793,0.9797588456216644
11,191,0,1dpos,raw,onehot,XG,,,10,0.0160942770685938,450,0.0003865932754809,0.1020742108040217,0.7298456768186811,0.979391184028464,0.0005893742886677,0.980075113658826,8.839960377543491e-05,0.978019371417276,0.0006465873585212,0.0,0.0,0.9802332476774066,0.6321036644514905,0.980075113658826
12,192,0,1dpos,zone,5FTE,XG,,,7,0.0317203172078611,100,1.2129668620041238,0.028149097570686,0.9134829399197316,0.9794109507807868,0.0004233096253114,0.9801146471634712,0.0002253756523224,0.9786914409962444,0.0002577269185689,0.0,0.0,0.9804309152006324,0.6331942318109866,0.9801146471634712
13,193,0,1dpos,zone,WTE,XG,,,9,0.016642868566498,450,0.0005335942116514,0.1066899471159609,0.8329160454593811,0.9795414113461156,0.0004895076899262,0.980312314686697,0.0002253756523224,0.9785333069776636,0.0003307610304542,0.0,0.0,0.9806285827238584,0.6375470204184899,0.980312314686697
14,194,0,1dpos,zone,onehot,XG,,,5,0.0545500059282456,350,0.3111495886501098,0.021215958514509,0.6597036403603782,0.9796441984581932,0.0004833439288514,0.9804704487052778,0.000216533922714,0.9787309745008894,0.0002651988113263,0.0,0.0,0.9806285827238584,0.6415431279475614,0.9804704487052778
15,195,0,cyclic,2dpos,5FTE,XG,16.0,5000.0,7,0.0227384635995331,300,0.0693524772754948,0.9582562416298648,0.7557162933835826,0.9782051788891084,0.0003867914330112,0.9787309745008896,0.000108266961357,0.977544969361534,0.0001767992075508,0.06,0.6,0.9788495750148252,0.6131721830020036,0.9787309745008896
16,196,0,cyclic,2dpos,WTE,XG,16.0,5000.0,8,0.0471370470279473,200,0.0035793220964625,1.946965225078754,0.6062554394911375,0.9782051788891084,0.0005839373910575,0.9790077090334058,8.839960377543491e-05,0.9771496343150818,0.0004961415456814,0.04,0.4,0.979047242538051,0.6160339454166639,0.9790077090334058
17,197,0,cyclic,2dpos,onehot,XG,16.0,5000.0,6,0.0345925991351586,250,0.6971102820328541,0.137443785036359,0.9409934492705074,0.9782881992488636,0.0004399365677948,0.9789286420241154,0.000108266961357,0.9774659023522436,0.0002420922853116,0.16,1.0,0.979047242538051,0.6152707524968931,0.9789286420241154
18,198,0,cyclic,elliptic,5FTE,XG,,,6,0.0436047321670619,200,0.131369416787776,0.0211318291670437,0.99990164310352,0.9785491203795216,0.0005405830446517,0.9795216445937932,0.0002997776415913,0.9777426368847598,0.000108266961357,0.0,0.0,0.9798379126309548,0.6268954197974342,0.9795216445937932
19,199,0,cyclic,elliptic,WTE,XG,,,10,0.026667100029958,250,0.1573708200928459,0.0548781025383879,0.6391996437923558,0.978956315477367,0.0005885619558062,0.9797983791263094,0.0001653805152271,0.9778217038940502,0.0001653805152271,0.0,0.0,0.9800355801541808,0.6353306869346214,0.9797983791263094
20,200,0,cyclic,elliptic,onehot,XG,,,9,0.0635421511534379,200,0.0010459750276975,0.0527204847906666,0.8334110562386967,0.9788653884166832,0.0006845540371954,0.9799960466495354,0.000405097875705,0.9777031033801146,0.0001653805152271,0.0,0.0,0.9806285827238584,0.639722761237012,0.9799960466495354
21,201,0,cyclic,polar,5FTE,XG,,,7,0.0374191248800926,500,1.9012300854627653,0.0307493462627324,0.6471536797954232,0.9797588456216644,0.0004640012629586,0.9804309152006324,0.0,0.9788495750148252,0.0003423701932335,0.02,0.2,0.9804309152006324,0.6492539476040271,0.9804309152006324
22,202,0,cyclic,polar,WTE,XG,,,6,0.0642340888709428,450,0.0003928453034906,0.02812328947085,0.7885709741421462,0.9797509389207352,0.0005038128539951,0.980747183237794,0.0004098921002832,0.9789286420241154,0.0003853249395061,0.0,0.0,0.9814192528167622,0.6577784451538466,0.980747183237794
23,203,0,cyclic,polar,onehot,XG,,,8,0.0913080488610289,250,0.0064940647631615,0.0198603781891985,0.838123936353521,0.979612571654477,0.0005098699326673,0.9804309152006324,0.0,0.9786914409962442,0.0004921881635892,0.0,0.0,0.9804309152006324,0.6536547800423499,0.9804309152006324
24,204,0,cyclic,raw,5FTE,XG,,,10,0.0293795059256728,250,1.3244421895967022,0.2853269193557642,0.792131565723247,0.9793476971733546,0.0005133456326504,0.9800355801541808,0.0001397720460933,0.9782565724451472,0.0002420922853116,0.0,0.0,0.9802332476774066,0.6359036958159106,0.9800355801541808
25,205,0,cyclic,raw,WTE,XG,,,8,0.0544989876826932,300,0.0009944826328286,0.0708613060665345,0.8293914321428766,0.9794386242340384,0.0008237529013082,0.9806681162285036,0.0001653805152271,0.9779798379126308,0.0002651988113263,0.0,0.0,0.9808262502470844,0.6554416723529067,0.9806681162285036
26,206,0,cyclic,raw,onehot,XG,,,7,0.0818936217765554,350,0.0003275625814043,0.0323848859201605,0.7829859881071679,0.9797193121170192,0.0006905384610531,0.9807076497331488,0.0002253756523224,0.9782565724451472,0.0005762949095518,0.0,0.0,0.9810239177703104,0.6553639417693169,0.9807076497331488
27,207,0,cyclic,zone,5FTE,XG,,,10,0.0205624068072951,500,0.3049626895651092,0.2513175259319213,0.6410775523988204,0.9798339592804904,0.0007645103035725,0.9807076497331488,0.000108266961357,0.9782565724451472,0.0004841845706233,0.0,0.0,0.9808262502470844,0.650428302519275,0.9807076497331488
28,208,0,cyclic,zone,WTE,XG,,,10,0.0527832066765644,200,0.1838048274692764,0.0685499260609962,0.785941699842419,0.9795532713975093,0.0004974416713377,0.980312314686697,0.000108266961357,0.9786519074915992,0.0001397720460933,0.0,0.0,0.9804309152006324,0.6484447236409655,0.980312314686697
29,209,0,cyclic,zone,onehot,XG,,,8,0.07513526473159,400,0.001046640916759,0.0767208084747318,0.6776142711934402,0.9794307175331096,0.0007389677719321,0.9806285827238584,0.0002420922853116,0.978217038940502,0.000257726918569,0.0,0.0,0.9808262502470844,0.6549647634343276,0.9806285827238584
30,210,0,raw,2dpos,5FTE,XG,16.0,5000.0,8,0.0446185653298478,150,0.1002532707731381,0.8396115910523526,0.9381744160125736,0.9782921525993278,0.0005323334689871,0.9789286420241154,0.000108266961357,0.9773077683336628,0.0003535984151017,0.12,1.0,0.979047242538051,0.6122741292597419,0.9789286420241154
31,211,0,raw,2dpos,WTE,XG,16.0,5000.0,6,0.0267442756523797,300,0.0006208841948114,2.037386219723265,0.8980869518302926,0.9782684324965408,0.0005213145143318,0.9790472425380508,0.0001976675232259,0.9772287013243725,0.000548505116644,0.1,1.0,0.9792449100612768,0.6133815049195148,0.9790472425380508
32,212,0,raw,2dpos,onehot,XG,16.0,5000.0,7,0.0216042264315558,250,0.3350466516212754,0.0989954279884476,0.643568347639012,0.978505633524412,0.0005310136566991,0.979284443565922,0.0001653805152271,0.977544969361534,0.000108266961357,0.04,0.4,0.9794425775845028,0.6187385833131409,0.979284443565922
33,213,0,raw,elliptic,5FTE,XG,,,9,0.0257745738185539,450,0.0200096437709533,0.0636294872107476,0.7510114342557827,0.979130262897806,0.0004876144148929,0.979916979640245,0.000108266961357,0.9782961059497924,0.000216533922714,0.0,0.0,0.9800355801541808,0.6309713370394582,0.979916979640245
34,214,0,raw,elliptic,WTE,XG,,,9,0.0561023093710438,200,0.0001000019318276,0.5604962589674545,0.7732305877051822,0.9787863214073927,0.0005074086340093,0.9796402451077288,0.0002420922853116,0.977979837912631,0.000108266961357,0.0,0.0,0.9800355801541808,0.627797409380348,0.9796402451077288
35,215,0,raw,elliptic,onehot,XG,,,9,0.0252640765580808,350,0.0034991885819778,0.19018190803002,0.6481709400449406,0.9789365487250444,0.0005733957652386,0.9797983791263096,8.839960377543491e-05,0.9778612373986956,0.0002420922853116,0.0,0.0,0.9798379126309548,0.631730375897426,0.9797983791263096
36,216,0,raw,polar,5FTE,XG,,,8,0.0345118253044715,500,0.0094476802450565,0.1686743219133582,0.987463312453367,0.9800830203597548,0.0005200127383691,0.9807867167424392,8.839960377543491e-05,0.9790472425380512,0.0005039552790662,0.0,0.0,0.9808262502470844,0.654339870270816,0.9807867167424392
37,217,0,raw,polar,WTE,XG,,,10,0.0624164132055054,150,0.4931830314632125,0.0328710244631629,0.907778158080602,0.9801937141727616,0.0006212407872814,0.9810239177703104,0.0001397720460934,0.9788495750148252,0.0006405159812618,0.0,0.0,0.9812215852935364,0.6615105723298941,0.9810239177703104
38,218,0,raw,polar,onehot,XG,,,9,0.0393996280364098,350,0.0001655716717129,0.0298229822125297,0.8023265370475906,0.980098833761613,0.0005765577452519,0.9809053172563746,0.000108266961357,0.9790077090334058,0.0004921881635891,0.0,0.0,0.9810239177703104,0.6611091508398028,0.9809053172563746
39,219,0,raw,raw,5FTE,XG,,,7,0.0290959291716719,450,0.0012063289518071,0.0241215589136748,0.7736770394747101,0.9797983791263096,0.0006003527412382,0.9806285827238584,0.0001397720460933,0.9785728404823087,0.0004098921002832,0.0,0.0,0.9808262502470844,0.6510323337914279,0.9806285827238584
40,220,0,raw,raw,WTE,XG,,,7,0.0981786182966576,500,0.046201601508261,0.062362972954507,0.9887169909725468,0.979802332476774,0.000717373008204,0.9807867167424392,0.000216533922714,0.978414706463728,0.0006465873585212,0.0,0.0,0.9810239177703104,0.6577689800734763,0.9807867167424392
41,221,0,raw,raw,onehot,XG,,,10,0.0348987257473594,350,0.0165450833199519,0.1181959749014678,0.6582897419740732,0.9799446530934968,0.0007365899954841,0.98094485076102,0.000108266961357,0.978612373986954,0.000216533922714,0.0,0.0,0.9810239177703104,0.6572030090051291,0.98094485076102
42,222,0,raw,zone,5FTE,XG,,,7,0.05048095578973,300,0.5025872688821483,0.2683844633847558,0.8827798643255123,0.9799723265467484,0.0005667938571843,0.9806681162285036,0.0001653805152271,0.9787705080055348,0.00084559199985,0.0,0.0,0.9808262502470844,0.6480322788854717,0.9806681162285036
43,223,0,raw,zone,WTE,XG,,,9,0.087054129895577,100,0.0021776647084946,0.0256730635922325,0.6351505217489888,0.979406997430322,0.0005824059645507,0.980312314686697,0.000108266961357,0.9783356394544376,0.0004098921002832,0.0,0.0,0.9804309152006324,0.6402869446378381,0.980312314686697
44,224,0,raw,zone,onehot,XG,,,7,0.0645838554882554,400,0.000485807166836,0.0536108098284877,0.7975368499452876,0.979636291757264,0.0005668641955841,0.9805890492192132,0.0001653805152271,0.9786914409962444,0.0002577269185689,0.0,0.0,0.9808262502470844,0.6544925769866731,0.9805890492192132
45,225,1,1dpos,2dpos,5FTE,XG,16.0,5000.0,5,0.0388114233712781,350,0.0153427795391546,0.0136736720540173,0.8630206547752133,0.9786914409962442,0.0004874672154754,0.9793635105752124,0.000108266961357,0.9777426368847598,0.0001767992075508,0.24,1.0,0.9794425775845028,0.6170568561872909,0.9793635105752124
46,226,1,1dpos,2dpos,WTE,XG,16.0,5000.0,6,0.0234251984289665,350,0.000286791181453,0.0106535260134687,0.6424631467333466,0.9789167819727218,0.0004161857300299,0.9795216445937932,0.000108266961357,0.9780589049219212,0.0002420922853116,0.22,1.0,0.9796402451077288,0.6186631110008579,0.9795216445937932
47,227,1,1dpos,2dpos,onehot,XG,16.0,5000.0,5,0.0497221080824386,450,0.0005447980970211,0.0175237423018256,0.7825183094399909,0.978841668313896,0.0003659219767412,0.9793239770705672,0.000108266961357,0.9781379719312115,0.0003853249395062,0.32,1.2,0.9794425775845028,0.6169442012220788,0.9793239770705672
48,228,1,1dpos,elliptic,5FTE,XG,,,9,0.0774815878527434,200,0.0016149387208461,0.1253655672098633,0.7025484716918878,0.9793239770705674,0.0005252612102261,0.980154180668116,0.000108266961357,0.9783356394544376,0.0002253756523224,0.0,0.0,0.9802332476774066,0.6316566225631892,0.980154180668116
49,229,1,1dpos,elliptic,WTE,XG,,,8,0.0235380579241406,150,0.0005546520143492,1.2489620959821788,0.6840619567895289,0.9793081636687092,0.0005198286956317,0.9800355801541808,0.0,0.9782565724451472,0.0002795440921868,0.0,0.0,0.9800355801541808,0.6301162605510432,0.9800355801541808
50,230,1,1dpos,elliptic,onehot,XG,,,6,0.039463657417002,250,0.0657384611105134,0.0301275334322589,0.6678488322498409,0.9791263095473414,0.0007132595905636,0.9797983791263094,0.0001653805152271,0.9776635698754697,0.0013551402649537,0.0,0.0,0.9800355801541808,0.6246364127877043,0.9797983791263094
51,231,1,1dpos,polar,5FTE,XG,,,6,0.0166697106150326,450,0.0340152045399993,1.6540474766053466,0.6851539237764231,0.979901166238387,0.0005554249954827,0.980509982209923,0.000108266961357,0.9785728404823087,0.0003590808880131,0.0,0.0,0.9806285827238584,0.6394746723049602,0.980509982209923
52,232,1,1dpos,polar,WTE,XG,,,10,0.0592841975753451,300,0.0003755672109633,0.0170949069050662,0.9985864206588844,0.9798695394346708,0.0005288317809039,0.9806285827238584,0.0001397720460933,0.9788495750148252,0.0001397720460933,0.0,0.0,0.9808262502470844,0.6489920403614091,0.9806285827238584
53,233,1,1dpos,polar,onehot,XG,,,9,0.0610329381765295,100,0.2937341954303705,0.024501732284101,0.8220900160699628,0.9799446530934968,0.0003997677993521,0.9806681162285036,0.0002577269185689,0.9792449100612768,0.0002420922853116,0.0,0.0,0.9810239177703104,0.6469290711890923,0.9806681162285036
54,234,1,1dpos,raw,5FTE,XG,,,9,0.0370077369767099,250,0.0393153500031729,0.0260674969477158,0.7119280375534338,0.9792686301640644,0.0004769500992453,0.979916979640245,0.000108266961357,0.978217038940502,0.000257726918569,0.0,0.0,0.9800355801541808,0.6314250291466432,0.979916979640245
