Index,globalInd,opt,timeOpt,locOpt,catOpt,modelOpt,encDim,denom,kernel,C,class_weight,gamma,objmean,objsd,meantop5,sdtop5,meanbottom5,sdbottom5,meantime,long5time,bestobj,wf1top5,acctop5,degree,coef0
66,66,1,cyclic,polar,5FTE,SV,,,poly,3.3859284148585567,,0.5832359135782782,0.9533188377149636,0.0608226738813595,0.9788100415101798,8.839960377543491e-05,0.8205969559201423,0.1269110628763189,8.98,52.8,0.9788495750148252,0.5927065330107155,0.9788100415101798,2.0,0.4860701097102082
25,25,0,cyclic,raw,WTE,SV,,,poly,0.1286854515216465,,0.2939897383859653,0.9377465902352244,0.1348076976108708,0.9776240363708244,0.000257726918569,0.6957106147459973,0.3696513385700025,6.06,52.0,0.9780589049219214,0.5809002334560394,0.9776240363708244,4.0,0.3863337439796364
89,89,1,raw,zone,onehot,SV,,,poly,0.3167006865487642,,0.791598252981684,0.9610871713777428,0.0338723749271799,0.9786519074915992,0.0,0.8719905119588851,0.0276478858538888,2.2,8.0,0.9786519074915992,0.6029411764705882,0.9786519074915992,2.0,0.4947049240426882
46,46,1,1dpos,2dpos,WTE,SV,16.0,5000.0,linear,7.985994797034269,,,0.955311326349081,0.0427817447574944,0.9754892271199844,1.2412670766236366e-16,0.8384661000197667,0.0123588842747582,7.96,31.2,0.9754892271199842,0.5208333333333333,0.9754892271199844,,
67,67,1,cyclic,polar,WTE,SV,,,poly,1.3787548877672753,,0.565056972898459,0.9541292745601896,0.0475371989936845,0.9788100415101798,8.839960377543491e-05,0.8424194504842853,0.0669206603833362,3.38,17.0,0.9788495750148252,0.5927065330107155,0.9788100415101798,2.0,0.2694200370611914
12,12,0,1dpos,zone,5FTE,SV,,,rbf,2.4372147427257467,,0.1132149717466751,0.9481359952559796,0.0752494711094028,0.977149634315082,0.0002253756523224,0.7767542992686302,0.162435841473776,2.02,6.8,0.9774659023522436,0.5656584988599354,0.977149634315082,,
15,15,0,cyclic,2dpos,5FTE,SV,16.0,5000.0,poly,0.0739261554950238,,0.0460185771086811,0.9573354417869144,0.0340956887980913,0.9773077683336628,8.839960377543491e-05,0.8653884166831389,0.0339542521372863,2.06,9.2,0.9774659023522436,0.5702134155830028,0.9773077683336628,3.0,0.1251586821098399
26,26,0,cyclic,raw,onehot,SV,,,poly,9.99893375100898,,0.1685443175711614,0.9385135402253412,0.1094759563071465,0.9777426368847598,0.0003307610304542,0.7436252223759637,0.2903423049101348,4.58,28.6,0.9782565724451472,0.585649959367984,0.9777426368847598,2.0,0.1504928437418695
13,13,0,1dpos,zone,WTE,SV,,,rbf,2.724119686871898,,0.149461526755793,0.9430717533109312,0.1330708080301428,0.9772287013243725,0.0004285329786257,0.7288396916386638,0.3885994549323701,2.08,8.6,0.9776635698754694,0.5665707512903683,0.9772287013243725,,
68,68,1,cyclic,polar,onehot,SV,,,rbf,2.523888209968358,,0.0207201566524123,0.9605099822099228,0.025779692229637,0.9772287013243725,0.0002577269185689,0.8953548132041906,0.0131968795636852,3.06,21.2,0.9774659023522436,0.5534225899299429,0.9772287013243725,,
27,27,0,cyclic,zone,5FTE,SV,,,rbf,7.098680781266694,,0.1048515822339558,0.956090136390591,0.0352922822941391,0.9785333069776636,0.0001767992075508,0.8719905119588851,0.0196808769111145,1.26,5.2,0.9788495750148252,0.5946411249574608,0.9785333069776636,,
