value,duration,params_C,params_class_weight,params_coef0,params_degree,params_gamma,params_kernel,user_attrs_ACC,user_attrs_WF1,notUsed_precision,notUsed_recall,notUsed_f1-score,notUsed_support,Used_precision,Used_recall,Used_f1-score,Used_support,accuracy,zeroPreds,model,option
0.9766752322593398,2,2.6157201808969455,,,,0.0891496517137123,rbf,0.9766752322593398,0.5083333333333333,0.9767814251401121,0.9993856235920541,0.9879542463812127,4883.0,0.9523809523809523,0.3409090909090909,0.502092050209205,176.0,0.9764775647361138,0.0,SV,worst
0.9766752322593398,2,3.3296160766318383,,,,0.09378189400379222,rbf,0.9766752322593398,0.5083333333333333,0.9767814251401121,0.9993856235920541,0.9879542463812127,4883.0,0.9523809523809523,0.3409090909090909,0.502092050209205,176.0,0.9764775647361138,0.0,SV,worst
0.9764775647361138,1,2.080515771638632,,,,0.06650677875323738,rbf,0.9764775647361138,0.4978902953586498,0.976390556222489,0.9993856235920541,0.9877542758830078,4883.0,0.9508196721311475,0.32954545454545453,0.48945147679324896,176.0,0.976082229689662,0.0,SV,worst
0.9764775647361138,1,6.276492135648933,,,,0.06973933660619992,rbf,0.9764775647361138,0.5062240663900415,0.9765906362545018,0.9995904157280361,0.9879566845460985,4883.0,0.9672131147540983,0.3352272727272727,0.4978902953586498,176.0,0.9764775647361138,0.0,SV,worst
0.9764775647361138,2,2.5182471612267956,,,,0.11205175835038621,rbf,0.9764775647361138,0.502092050209205,0.9671156893819335,0.999795207864018,0.9831839693887826,4883.0,0.9090909090909091,0.056818181818181816,0.10695187165775401,176.0,0.966989523621269,0.0,SV,worst
0.9764775647361138,2,6.137552725413746,,,,0.070574834609044,rbf,0.9764775647361138,0.5062240663900415,0.9765906362545018,0.9995904157280361,0.9879566845460985,4883.0,0.9672131147540983,0.3352272727272727,0.4978902953586498,176.0,0.9764775647361138,0.0,SV,worst
0.9764775647361138,2,5.4094477741256055,,,,0.07061837747839796,rbf,0.9764775647361138,0.5062240663900415,0.9652105159122356,1.0,0.9822973244819956,4883.0,0.0,0.0,0.0,176.0,0.9652105159122356,1.0,SV,worst
0.9764775647361138,1,1.9998508276703144,,,,0.06728182186429052,rbf,0.9764775647361138,0.4978902953586498,0.9763621794871795,0.9981568707761622,0.9871392405063291,4883.0,0.8656716417910447,0.32954545454545453,0.4773662551440329,176.0,0.9748962245503063,0.0,SV,worst
0.9764775647361138,2,6.766421106156199,,,,0.061818359711023584,rbf,0.9764775647361138,0.5102880658436214,0.9652105159122356,1.0,0.9822973244819956,4883.0,0.0,0.0,0.0,176.0,0.9652105159122356,1.0,SV,worst
0.9764775647361138,2,1.6115806743816639,,,,0.08145673894419467,rbf,0.9764775647361138,0.4978902953586498,0.9750299640431482,0.9995904157280361,0.9871574476691273,4883.0,0.9622641509433962,0.2897727272727273,0.44541484716157204,176.0,0.9748962245503063,0.0,SV,worst
