value,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,params_reg_lambda,user_attrs_ACC,user_attrs_WF1,notUsed_precision,notUsed_recall,notUsed_f1-score,notUsed_support,Used_precision,Used_recall,Used_f1-score,Used_support,accuracy,zeroPreds,model,option
0.9798379126309548,0,0.7689603718923876,0.02237092432973015,0.06778729795642659,5,300,0.6236914839562545,0.9798379126309548,0.6330935251798561,0.9822473270123059,0.9971329100962523,0.9896341463414634,4883.0,0.8627450980392157,0.5,0.6330935251798561,176.0,0.9798379126309548,0.0,XG,best
0.9798379126309548,2,0.8584492770182229,0.05446118043131361,0.03857736659432849,10,350,0.2321851499668065,0.9798379126309548,0.6433566433566433,0.983026874115983,0.9963137415523244,0.9896257119609438,4883.0,0.8363636363636363,0.5227272727272727,0.6433566433566433,176.0,0.9798379126309548,0.0,XG,best
0.9798379126309548,1,0.8788812781761175,0.11144550233878418,0.01256000297780778,7,450,0.07986503598409271,0.9798379126309548,0.6330935251798561,0.9822473270123059,0.9971329100962523,0.9896341463414634,4883.0,0.8627450980392157,0.5,0.6330935251798561,176.0,0.9798379126309548,0.0,XG,best
0.9798379126309548,1,0.8004768367529257,0.031744529826938254,0.07039281083290129,10,500,0.1795907165016547,0.9798379126309548,0.6458333333333334,0.9832221548413179,0.9961089494163424,0.9896236012207528,4883.0,0.8303571428571429,0.5284090909090909,0.6458333333333334,176.0,0.9798379126309548,0.0,XG,best
0.9798379126309548,1,0.7231194052781864,0.10478870652092202,0.0809943354035409,10,500,0.0008933308470819727,0.9798379126309548,0.6382978723404256,0.9826367857863921,0.9967233258242884,0.9896299308662058,4883.0,0.8490566037735849,0.5113636363636364,0.6382978723404256,176.0,0.9798379126309548,0.0,XG,best
0.9798379126309548,1,0.8740024514803938,0.010616370015226011,0.049304423788457,9,200,0.00010263837027514705,0.9798379126309548,0.6408450704225352,0.9828317511613816,0.9965185336883063,0.9896278218425869,4883.0,0.8425925925925926,0.5170454545454546,0.6408450704225352,176.0,0.9798379126309548,0.0,XG,best
0.9798379126309548,1,0.8310828245949923,0.015982796050598675,0.04368256971908933,8,450,0.035228077831330334,0.9798379126309548,0.6458333333333334,0.9832221548413179,0.9961089494163424,0.9896236012207528,4883.0,0.8303571428571429,0.5284090909090909,0.6458333333333334,176.0,0.9798379126309548,0.0,XG,best
0.9798379126309548,1,0.7733886363554454,0.2395474385802379,0.04378331349386579,6,450,0.01331612532081421,0.9798379126309548,0.6357142857142857,0.9824419778002018,0.9969281179602704,0.9896320390323237,4883.0,0.8557692307692307,0.5056818181818182,0.6357142857142857,176.0,0.9798379126309548,0.0,XG,best
0.9798379126309548,1,0.6557042805654755,0.5583125829542485,0.03604497713720992,8,450,0.3768017103486028,0.9798379126309548,0.6357142857142857,0.9824419778002018,0.9969281179602704,0.9896320390323237,4883.0,0.8557692307692307,0.5056818181818182,0.6357142857142857,176.0,0.9798379126309548,0.0,XG,best
0.9798379126309548,1,0.7474743529159232,0.026752139206593115,0.047700735262808006,6,350,0.0895245170631079,0.9798379126309548,0.6304347826086957,0.9820528332325066,0.9973377022322343,0.9896362527941476,4883.0,0.87,0.4943181818181818,0.6304347826086957,176.0,0.9798379126309548,0.0,XG,best
0.9798379126309548,1,0.7864165679702259,0.11841406052984789,0.05142743595311782,7,500,0.05229914635489183,0.9798379126309548,0.6382978723404256,0.9826367857863921,0.9967233258242884,0.9896299308662058,4883.0,0.8490566037735849,0.5113636363636364,0.6382978723404256,176.0,0.9798379126309548,0.0,XG,best
0.9798379126309548,1,0.7808437334782599,0.0952085409194208,0.07015405696832805,5,450,0.04336924213368761,0.9798379126309548,0.6330935251798561,0.9822473270123059,0.9971329100962523,0.9896341463414634,4883.0,0.8627450980392157,0.5,0.6330935251798561,176.0,0.9798379126309548,0.0,XG,best
0.9798379126309548,1,0.7184445403421018,0.1392290949378549,0.04185723302724863,7,500,0.01907286290441025,0.9798379126309548,0.6382978723404256,0.9826367857863921,0.9967233258242884,0.9896299308662058,4883.0,0.8490566037735849,0.5113636363636364,0.6382978723404256,176.0,0.9798379126309548,0.0,XG,best
0.9798379126309548,2,0.6769351366824488,0.12823249782398555,0.03520516071546022,7,500,0.1044642852400277,0.9798379126309548,0.6357142857142857,0.9824419778002018,0.9969281179602704,0.9896320390323237,4883.0,0.8557692307692307,0.5056818181818182,0.6357142857142857,176.0,0.9798379126309548,0.0,XG,best
0.9796402451077288,1,0.8286932883708187,0.019800215383466876,0.043184821501632206,9,250,0.00039642602307321973,0.9796402451077288,0.6360424028268551,0.9826332794830371,0.9965185336883063,0.9895271987798678,4883.0,0.8411214953271028,0.5113636363636364,0.6360424028268551,176.0,0.9796402451077288,0.0,XG,best
0.9796402451077288,1,0.7393395313026343,0.07990305700540691,0.05758865504059332,6,500,0.006967726432708106,0.9796402451077288,0.6385964912280702,0.9828282828282828,0.9963137415523244,0.9895250686463948,4883.0,0.8348623853211009,0.5170454545454546,0.6385964912280702,176.0,0.9796402451077288,0.0,XG,best
0.9796402451077288,2,0.6131707317840037,0.011306982678898165,0.011303371418528317,9,500,0.10385475992834098,0.9796402451077288,0.6334519572953736,0.982438433589019,0.9967233258242884,0.9895293280471689,4883.0,0.8476190476190476,0.5056818181818182,0.6334519572953736,176.0,0.9796402451077288,0.0,XG,best
