Index,globalInd,opt,timeOpt,locOpt,catOpt,modelOpt,encDim,denom,iterations,learning_rate,depth,l2_leaf_reg,random_strength,auto_class_weights,objmean,objsd,meantop5,sdtop5,meanbottom5,sdbottom5,meantime,long5time,bestobj,wf1top5,acctop5
20,290,1,cyclic,2dpos,catboost,CB,16.0,5000.0,500,0.10534703737192,3,0.7155005901732373,2.6766201316809584,,0.9737616129669894,0.0089005329914553,0.97881004151018,0.0002577269185689,0.9488041114844832,0.0075799760778074,2.28,13.2,0.9792449100612768,0.6042766434181142,0.97881004151018
10,280,0,raw,2dpos,catboost,CB,16.0,5000.0,600,0.0879904414272647,3,1.5160008762202413,1.765270881461166,,0.9725322823337678,0.0135621481585494,0.9786914409962444,8.839960377543491e-05,0.93544178691441,0.0130360195476487,4.244897959183674,17.0,0.9788495750148252,0.6028886970711038,0.9786914409962444
21,291,1,cyclic,elliptic,catboost,CB,,,700,0.0501452935951356,10,8.881704392778083,3.252446513581604,,0.975382486657442,0.0106704008099061,0.979482111089148,8.839960377548457e-05,0.9516900573235818,0.0240658078605416,4.9,11.8,0.9796402451077288,0.628214449355272,0.979482111089148
11,281,0,raw,elliptic,catboost,CB,,,400,0.1414763532061846,10,6.693180842663782,1.348992053638175,,0.973923700336035,0.0149168816817655,0.9797588456216644,0.000108266961357,0.9336232457007312,0.0207274922647953,4.72,11.6,0.9798379126309548,0.6326901253036777,0.9797588456216644
22,292,1,cyclic,polar,catboost,CB,,,600,0.0805873317029923,9,0.6821207254471465,2.4539566330456486,,0.9750622652698162,0.0115856805896173,0.9799960466495354,0.000216533922714,0.9453251630757066,0.0194004405578548,3.68,9.0,0.9802332476774066,0.6466922304548017,0.9799960466495354
12,282,0,raw,polar,catboost,CB,,,400,0.1068215602162832,6,0.6591025533069216,3.322767583350284,,0.9743941490413124,0.0115683820063555,0.980154180668116,0.000108266961357,0.9427159517691244,0.0050577398948194,3.46,8.8,0.9802332476774066,0.640187254299726,0.980154180668116
23,293,1,cyclic,raw,catboost,CB,,,300,0.2456840080066568,8,2.1019248234406827,4.959036578645011,,0.9763194307175332,0.0136233524160051,0.980075113658826,8.839960377543491e-05,0.95236212690255,0.0382694739125032,1.9,6.6,0.9802332476774066,0.6473191512217606,0.980075113658826
13,283,0,raw,raw,catboost,CB,,,700,0.085220165159125,7,6.768882618909244,2.7084516015388527,,0.9754378335639454,0.011458302530173,0.9805890492192132,0.0001653805152271,0.9451274955524808,0.0165608347147079,4.18,11.4,0.9808262502470844,0.6512786142140198,0.9805890492192132
24,294,1,cyclic,zone,catboost,CB,,,600,0.11604867627313,6,0.7445878225770446,1.6437427027847944,,0.9766633722079462,0.0080229750794926,0.9804704487052778,0.0002577269185689,0.9561178098438428,0.0132282261151246,4.38,10.0,0.9808262502470844,0.6536113743619525,0.9804704487052778
14,284,0,raw,zone,catboost,CB,,,700,0.1128150088478604,6,4.019641570771151,1.645859229732334,,0.9744613559992092,0.0154470535561633,0.980312314686697,0.0003307610304542,0.9346115833168612,0.0262903007615958,3.66,10.0,0.9808262502470844,0.644362480711709,0.980312314686697
25,295,1,raw,2dpos,catboost,CB,16.0,5000.0,400,0.0454294649512248,7,0.1436746458844369,2.2892003438564457,,0.975212492587468,0.0047377973443544,0.9781775054358568,0.0003590808880131,0.9631547736706858,0.0051119129868336,4.68,18.4,0.9786519074915992,0.5879102587099815,0.9781775054358568
15,285,1,1dpos,2dpos,catboost,CB,16.0,5000.0,800,0.0431594706982106,4,1.8250426860537745,0.7829078162990517,,0.9751492389800356,0.0085218655297616,0.9787309745008896,0.000108266961357,0.9555248072741648,0.017979053831744,3.38,20.0,0.9788495750148252,0.6022822924554097,0.9787309745008896
26,296,1,raw,elliptic,catboost,CB,,,400,0.0184350432163609,9,1.5223697357753485,4.963900688315583,,0.9755841075311328,0.0111747186685029,0.9790472425380512,1.2412670766236366e-16,0.9539830005930025,0.029303301966897,2.9,6.8,0.979047242538051,0.6248121844690354,0.9790472425380512
16,286,1,1dpos,elliptic,catboost,CB,,,600,0.1561518329605105,5,1.510463895509342,0.6881511353049439,,0.9763984977268234,0.0086132581461866,0.9799565131448904,0.0001767992075508,0.9554852737695196,0.0170816080305841,1.5,6.6,0.9802332476774066,0.6304434808550521,0.9799565131448904
17,287,1,1dpos,polar,catboost,CB,,,700,0.0516791165685286,3,0.2661252181917869,0.5845632992885545,,0.9748369242933386,0.0125700515453325,0.980154180668116,0.0001767992075508,0.937971931211702,0.0054464487366814,0.86,4.2,0.9804309152006324,0.6314125324133135,0.980154180668116
27,297,1,raw,polar,catboost,CB,,,300,0.2575652342870587,8,5.268791847660186,2.3626081132057184,,0.9758292152599328,0.008594633565043,0.9797588456216644,0.0002253756523224,0.953231864004744,0.0131219080741571,1.46,5.2,0.9800355801541808,0.6381090222769925,0.9797588456216644
28,298,1,raw,raw,catboost,CB,,,600,0.0726748670373229,6,0.7444131412277085,1.5647488442719404,,0.9745680964617514,0.0136823189148112,0.9802727811820516,8.839960377543491e-05,0.9406206760229294,0.0253136398255518,1.36,4.6,0.9804309152006324,0.6455613458451264,0.9802727811820516
18,288,1,1dpos,raw,catboost,CB,,,800,0.025791043809186,9,1.6837509971306477,1.2833024349913384,SqrtBalanced,0.9776556631745404,0.0033155467622353,0.9797983791263094,0.0001653805152271,0.9692824668906898,0.0049566880470155,3.9,9.2,0.9800355801541808,0.6306670253029589,0.9797983791263094
29,299,1,raw,zone,catboost,CB,,,700,0.099399603096642,6,9.513024281096476,3.115745446344368,,0.9752006325360744,0.0121445486248947,0.9801146471634712,0.0001767992075508,0.9434275548527378,0.0194546420907646,2.38,6.8,0.9802332476774066,0.6398595029810391,0.9801146471634712
19,289,1,1dpos,zone,catboost,CB,,,600,0.049495075561343915,7,8.213217447899943,2.7852085314593853,,0.9771535876655467,0.007068030942992521,0.9799565131448903,0.0002253756523224065,0.9608618304012652,0.015374289729665425,2.5,8.4,0.9802332476774066,0.6318178375923942,0.9799565131448903
