Index,globalInd,opt,timeOpt,locOpt,catOpt,modelOpt,encDim,denom,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,max_samples,objmean,objsd,meantop5,sdtop5,meanbottom5,sdbottom5,meantime,long5time,bestobj,wf1top5,acctop5
12,102,0,1dpos,zone,5FTE,RF,,,800,45,4,1,sqrt,0.9144484301218,0.9784305198655862,0.0007562783035455,0.9788891085194702,8.839960377543491e-05,0.9763984977268232,0.0010515466359573,2.34,5.4,0.979047242538051,0.5972818839551708,0.9788891085194702
13,103,0,1dpos,zone,WTE,RF,,,500,50,3,1,log2,0.92590326311815,0.9787586479541412,0.0005360949568391,0.9792449100612768,0.0,0.9776635698754697,0.0011777401944863,2.4,4.6,0.9792449100612768,0.6067415730337079,0.9792449100612768
14,104,0,1dpos,zone,onehot,RF,,,550,45,4,1,sqrt,0.9762365442086132,0.977758450286618,0.0014001372835937,0.9788891085194702,8.839960377543491e-05,0.9745404230084996,0.0011474935974461,2.86,5.0,0.979047242538051,0.594221684525867,0.9788891085194702
15,105,0,cyclic,2dpos,5FTE,RF,16.0,5000.0,1000,35,5,1,sqrt,0.728397079848731,0.9773156750345916,0.00159417681406,0.9782961059497924,8.839960377543491e-05,0.9730776833366278,0.0017702006860832,2.98,6.4,0.9784542399683732,0.5767126441545046,0.9782961059497924
16,106,0,cyclic,2dpos,WTE,RF,16.0,5000.0,200,15,6,1,sqrt,0.8834600993262663,0.9773552085392369,0.0014360792585646,0.9783751729590828,0.000108266961357,0.9735125518877248,0.0015438327092126,2.18,5.2,0.9784542399683732,0.5782595782595783,0.9783751729590828
17,107,0,cyclic,2dpos,onehot,RF,16.0,5000.0,550,25,8,1,sqrt,0.9126872533543432,0.9768333662779206,0.0015757836306784,0.977979837912631,0.000108266961357,0.972880015813402,0.0012532806866295,3.28,6.4,0.9780589049219214,0.5698730330199578,0.977979837912631
18,108,0,cyclic,elliptic,5FTE,RF,,,250,45,4,1,sqrt,0.8719092837682176,0.9786953943467088,0.0009065215560915,0.9797588456216644,0.0001767992075508,0.9766356987546946,0.0010403397799518,1.4,4.0,0.9800355801541808,0.6196020746757986,0.9797588456216644
19,109,0,cyclic,elliptic,WTE,RF,,,550,45,6,2,sqrt,0.7685883399170641,0.9786519074915988,0.0007265512851364,0.9794425775845028,0.0,0.9771101008104368,0.0009417773670347,3.68,6.0,0.9794425775845028,0.6119402985074627,0.9794425775845028
20,110,0,cyclic,elliptic,onehot,RF,,,450,30,4,1,log2,0.8472756222570099,0.9782447123937535,0.0008361659997714,0.9789681755287608,0.0001767992075508,0.9763194307175332,0.0010496871355881,2.32,5.0,0.9792449100612768,0.6029750790760288,0.9789681755287608
21,111,0,cyclic,polar,5FTE,RF,,,400,45,3,3,sqrt,0.9238946049938538,0.9786440007906702,0.0006042714652854,0.9790867760426962,8.839960377543491e-05,0.9770310338011464,0.0007044289259223,1.88,5.6,0.9792449100612768,0.6049304041589804,0.9790867760426962
22,112,0,cyclic,polar,WTE,RF,,,450,15,5,1,log2,0.908883919592423,0.9789009685708636,0.0006486313051484,0.9795611780984383,0.000108266961357,0.9774263688475984,0.0006761269569672,2.58,5.2,0.9796402451077288,0.6178816454831215,0.9795611780984383
23,113,0,cyclic,polar,onehot,RF,,,650,45,2,3,sqrt,0.9637144659433132,0.9782486657442184,0.0006326369170616,0.9786914409962444,8.839960377543491e-05,0.9765566317454042,0.0007343022581935,2.66,5.2,0.9788495750148252,0.5956441497841536,0.9786914409962444
24,114,0,cyclic,raw,5FTE,RF,,,250,25,6,1,sqrt,0.7269591924585518,0.9784502866179088,0.0005835002507606,0.9789681755287608,0.0001767992075508,0.9770705673057916,0.0009058263876173,3.3,5.4,0.9792449100612768,0.6047528569461654,0.9789681755287608
25,115,0,cyclic,raw,WTE,RF,,,400,50,2,2,log2,0.897943071696351,0.97852144692627,0.000466759884901,0.9790472425380512,0.0001397720460933,0.977544969361534,0.0008906013303869,3.06,5.6,0.9792449100612768,0.6079868798687986,0.9790472425380512
26,116,0,cyclic,raw,onehot,RF,,,700,15,2,1,sqrt,0.8666331435220779,0.9782684324965408,0.0008050715343582,0.9788495750148252,0.0,0.9761217631943072,0.0007044289259223,3.22,5.0,0.9788495750148252,0.6005925678403854,0.9788495750148252
27,117,0,cyclic,zone,5FTE,RF,,,800,40,5,1,sqrt,0.7318302210175781,0.9790591025894446,0.0006469079212723,0.9796007116030836,8.839960377548457e-05,0.9776240363708244,0.0011389492224462,1.44,2.4,0.9796402451077288,0.6160683570992621,0.9796007116030836
28,118,0,cyclic,zone,WTE,RF,,,850,20,2,1,log2,0.8096125084264592,0.9792093299070964,0.000683213156265,0.980075113658826,0.0001653805152271,0.9777426368847598,0.0006932468043783,1.44,2.0,0.9802332476774066,0.6315766958102724,0.980075113658826
62,152,1,cyclic,2dpos,onehot,RF,16.0,5000.0,850,30,3,3,sqrt,0.7027797648659889,0.9768175528760624,0.0014602407992374,0.9778612373986956,1.2412670766236366e-16,0.9734334848784344,0.0015412997580247,3.66,6.6,0.9778612373986952,0.5650175092035556,0.9778612373986956
29,119,0,cyclic,zone,onehot,RF,,,800,50,9,1,sqrt,0.99883296436818,0.9779363510575212,0.0018168786082433,0.979482111089148,0.0001653805152271,0.9731962838505634,0.0010232993955758,1.14,2.2,0.9796402451077288,0.6129645827086114,0.979482111089148
63,153,1,cyclic,elliptic,5FTE,RF,,,500,35,2,1,log2,0.8257753208893777,0.9784344732160506,0.0008724192644382,0.9795611780984383,0.000108266961357,0.9765961652500492,0.0009843763271783,2.26,4.6,0.9796402451077288,0.6196758237782766,0.9795611780984383
30,120,0,raw,2dpos,5FTE,RF,16.0,5000.0,1000,25,4,4,sqrt,0.925703796903553,0.9773828819924886,0.001357251062877,0.9780589049219216,1.2412670766236366e-16,0.9739078869341768,0.0020158211162651,1.04,2.0,0.9780589049219214,0.5647058823529412,0.9780589049219216
31,121,0,raw,2dpos,WTE,RF,16.0,5000.0,700,40,8,5,sqrt,0.7674106311765329,0.9772682348290176,0.0013839607776627,0.9780589049219216,1.2412670766236366e-16,0.9737102194109508,0.0021381011714552,0.9,2.0,0.9780589049219214,0.5679351496349844,0.9780589049219216
64,154,1,cyclic,elliptic,WTE,RF,,,450,35,2,1,log2,0.9606774149001552,0.9785886538841666,0.0009300967611727,0.9796402451077288,0.0,0.9765566317454042,0.0008570659572515,2.26,4.6,0.9796402451077288,0.6254545454545455,0.9796402451077288
32,122,0,raw,2dpos,onehot,RF,16.0,5000.0,1000,25,4,3,sqrt,0.8860959619977276,0.9769835935955724,0.0013215727188617,0.9779403044079858,0.000108266961357,0.9737892864202412,0.0009229189586818,1.38,2.2,0.9780589049219214,0.5647790594927737,0.9779403044079858
33,123,0,raw,elliptic,5FTE,RF,,,400,45,2,3,sqrt,0.9936047359215824,0.9790432891875868,0.0006664339006864,0.979679778612374,8.839960377543491e-05,0.9775054358568888,0.0009417773670347,0.78,1.4,0.9798379126309548,0.6175608944126949,0.979679778612374
65,155,1,cyclic,elliptic,onehot,RF,,,700,30,2,1,sqrt,0.8824781058313542,0.9782961059497924,0.0008386322765604,0.9791263095473411,0.000108266961357,0.9764380312314688,0.0009417773670347,2.12,4.2,0.9792449100612768,0.60855791072447,0.9791263095473411
66,156,1,cyclic,polar,5FTE,RF,,,1000,25,9,4,log2,0.9195932828665674,0.9785174935758054,0.0004272097963815,0.9790077090334058,8.839960377543491e-05,0.9776240363708244,0.0007832224849242,3.02,5.6,0.979047242538051,0.6034322768181564,0.9790077090334058
67,157,1,cyclic,polar,WTE,RF,,,400,40,8,1,sqrt,0.8106375930045209,0.9784700533702312,0.0006312236526766,0.9790472425380512,1.2412670766236366e-16,0.9768333662779206,0.0005830354300752,2.44,5.0,0.979047242538051,0.6050635710337203,0.9790472425380512
34,124,0,raw,elliptic,WTE,RF,,,800,25,8,2,sqrt,0.9948471407077676,0.9788930618699349,0.0009152755160755,0.9796007116030836,8.839960377548457e-05,0.9765170982407588,0.0001653805152271,9.18,29.0,0.9796402451077288,0.6137738274917547,0.9796007116030836
68,158,1,cyclic,polar,onehot,RF,,,1000,25,2,1,log2,0.9613209292742502,0.978734927851354,0.0006174943446134,0.9796402451077288,0.0,0.9775845028661792,0.0008339601940987,2.62,6.0,0.9796402451077288,0.6227106227106227,0.9796402451077288
69,159,1,cyclic,raw,5FTE,RF,,,800,30,10,6,log2,0.9001490412582855,0.9782407590432892,0.0007340198634797,0.9786519074915992,0.0,0.9762008302035976,0.000108266961357,3.38,5.6,0.9786519074915992,0.5970149253731343,0.9786519074915992
70,160,1,cyclic,raw,WTE,RF,,,900,50,2,1,log2,0.8670403053233295,0.9783474995058312,0.0007878513317395,0.9791658430519864,0.0002997776415913,0.9762008302035976,0.0002253756523224,3.02,5.0,0.9796402451077288,0.6104421481428639,0.9791658430519864
71,161,1,cyclic,raw,onehot,RF,,,650,45,2,1,log2,0.9601830940831988,0.9787863214073927,0.0008198231072939,0.9798774461356,8.839960377543491e-05,0.9770705673057916,0.0009165465996734,2.8,5.6,0.9800355801541808,0.6271022165182749,0.9798774461356
72,162,1,cyclic,zone,5FTE,RF,,,950,30,4,2,sqrt,0.9999852942819526,0.9790077090334056,0.0007406815038886,0.979679778612374,8.839960377543491e-05,0.9774263688475984,0.0014074704976412,2.4,5.6,0.9798379126309548,0.6192550728481263,0.979679778612374
73,163,1,cyclic,zone,WTE,RF,,,200,30,2,1,log2,0.9866310520834888,0.9790749159913028,0.0008252229572009,0.979916979640245,0.000108266961357,0.977149634315082,0.0012233048781787,0.86,2.0,0.9800355801541808,0.6309563867434461,0.979916979640245
