Index,globalInd,opt,timeOpt,locOpt,catOpt,modelOpt,encDim,denom,C,penalty,class_weight,objmean,objsd,meantop5,sdtop5,meanbottom5,sdbottom5,meantime,long5time,bestobj,wf1top5,acctop5
23,413,0,cyclic,polar,onehot,LR,,,949.7740425287528,l1,,0.94550306384661,0.0598218658935868,0.9762403637082426,0.0001653805152271,0.8200434868551097,0.0061286496011277,1.5,4.0,0.9764775647361138,0.5286245561216611,0.9762403637082426
24,414,0,cyclic,raw,5FTE,LR,,,616.061160641464,l1,,0.9346471634710418,0.0703501553938978,0.9741055544574028,0.0,0.7935560387428345,0.0140737333162966,1.12,3.8,0.9741055544574028,0.4780876494023904,0.9741055544574028
25,415,0,cyclic,raw,WTE,LR,,,19.991193936716662,l1,,0.9373986953943466,0.0682965476071083,0.9741055544574028,0.0,0.7944257758450286,0.0205526702430728,1.74,4.0,0.9741055544574028,0.4755724091585466,0.9741055544574028
26,416,0,cyclic,raw,onehot,LR,,,1397.379681093607,l2,,0.943474995058312,0.062078623726215,0.9755287606246296,8.839960377543491e-05,0.8173552085392369,0.0089672237376665,1.18,3.6,0.97568689464321,0.5197840316110156,0.9755287606246296
27,417,0,cyclic,zone,5FTE,LR,,,570.3339350682223,l2,,0.9420636489424788,0.0633649275237747,0.9743032219806288,1.2412670766236366e-16,0.8066020952757462,0.0241476587975743,0.34,2.8,0.9743032219806286,0.4758064516129032,0.9743032219806288
28,418,0,cyclic,zone,WTE,LR,,,7642.172753949882,l2,,0.937896817552876,0.0679089350954396,0.9743032219806288,1.2412670766236366e-16,0.7938723067799961,0.0274357252951867,0.4,3.4,0.9743032219806286,0.4758064516129032,0.9743032219806288
29,419,0,cyclic,zone,onehot,LR,,,78.30534998298093,l2,,0.9478078671674244,0.0586268237453178,0.9774659023522436,0.0,0.8204783554062068,0.0166307591517142,0.46,3.4,0.9774659023522436,0.5681818181818182,0.9774659023522436
30,420,0,raw,2dpos,5FTE,LR,16.0,5000.0,523.9231693927129,l1,,0.9403913816959872,0.0652110284486057,0.975884562166436,0.0,0.8116228503656849,0.0186222320802867,1.4,3.2,0.975884562166436,0.5234375,0.975884562166436
31,421,0,raw,2dpos,WTE,LR,16.0,5000.0,17.523519927929854,l2,,0.9460051393556038,0.0612209684270051,0.975884562166436,0.0,0.8096461751334255,0.0172588765735125,0.2,2.0,0.975884562166436,0.5234375,0.975884562166436
32,422,0,raw,2dpos,onehot,LR,16.0,5000.0,41.22334744161222,l2,,0.948978058904922,0.0574108401328472,0.977149634315082,0.000108266961357,0.823917770310338,0.0124760938607549,0.3,2.6,0.9772682348290176,0.5614586933978568,0.977149634315082
33,423,0,raw,elliptic,5FTE,LR,,,2.700232744438726,l1,,0.9477999604664952,0.0551763765609441,0.9752915595967584,0.0,0.822217829610595,0.0170376333697074,1.58,3.6,0.9752915595967584,0.5039370078740157,0.9752915595967584
34,424,0,raw,elliptic,WTE,LR,,,0.9623040112490104,l1,,0.927040917177308,0.141970560385384,0.9752915595967584,0.0,0.649733148843645,0.3438632949306121,1.2,3.8,0.9752915595967584,0.5023810270728111,0.9752915595967584
35,425,0,raw,elliptic,onehot,LR,,,1047.8356638802932,l1,,0.9446293733939516,0.0610217185512991,0.9758450286617908,8.839960377543491e-05,0.8134413915793635,0.0135257171404902,1.92,4.0,0.975884562166436,0.518462251042149,0.9758450286617908
36,426,0,raw,polar,5FTE,LR,,,6799.925116330827,l2,,0.9485787705080057,0.0516508728008142,0.9748962245503064,0.0,0.8377544969361533,0.025245942537776,0.2,2.0,0.9748962245503064,0.4980237154150197,0.9748962245503064
37,427,0,raw,polar,WTE,LR,,,37.96533801319252,l1,,0.9094682743625222,0.1873569370573825,0.9748962245503064,0.0,0.5174145087962048,0.4410180970676904,1.54,3.4,0.9748962245503064,0.4980237154150197,0.9748962245503064
38,428,0,raw,polar,onehot,LR,,,1.3031978326897553,l1,,0.9448902945246094,0.0595161820464071,0.9754892271199844,1.2412670766236366e-16,0.8153389998023325,0.0054176770154183,0.78,3.6,0.9754892271199842,0.5079365079365079,0.9754892271199844
39,429,0,raw,raw,5FTE,LR,,,3610.3843968530273,l2,,0.9445463530341964,0.0586359392612912,0.9743032219806288,1.2412670766236366e-16,0.8179482111089149,0.0329467944177258,0.42,3.0,0.9743032219806286,0.4921875,0.9743032219806288
40,430,0,raw,raw,WTE,LR,,,815.3463928403432,l1,,0.9471674243921726,0.0568644514015677,0.9743032219806288,1.2412670766236366e-16,0.8183040126507214,0.0341044938138498,1.1,3.8,0.9743032219806286,0.4921875,0.9743032219806288
