Index,globalInd,opt,timeOpt,locOpt,catOpt,modelOpt,encDim,denom,n_layers,n_units_layer_0,n_units_layer_1,n_units_layer_2,lrate,nEpoch,dropout_prob,weight_decay,objmean,objsd,meantop5,sdtop5,meanbottom5,sdbottom5,meantime,long5time,bestobj,wf1top5,acctop5
10,310,0,1dpos,raw,WTE,NN,,,3,512,256.0,256.0,0.0086750302184688,300,0.3388778856919058,0.0001660944992053,0.9722000395335044,0.0047652793328209,0.9760426961850166,0.0001653805152271,0.9652105159122356,1.2412670766236366e-16,0.18,1.0,0.976279897212888,0.5291509574599745,0.9760426961850166
11,311,0,1dpos,raw,onehot,NN,,,2,512,256.0,,0.0248398494075261,400,0.0612304166740691,0.0008456537310566,0.9652105159122356,1.1214946133455534e-16,0.9652105159122356,1.2412670766236366e-16,0.9652105159122356,1.2412670766236366e-16,0.22,1.2,0.9652105159122356,0.0,0.9652105159122356
12,312,0,1dpos,zone,5FTE,NN,,,3,512,512.0,128.0,0.0035537743671993,500,0.2295415726797298,3.481983030005865e-05,0.97125123542202,0.0050626265318962,0.9760426961850168,8.839960377543491e-05,0.9652105159122356,1.2412670766236366e-16,0.42,1.2,0.976082229689662,0.52980631322324,0.9760426961850168
13,313,0,1dpos,zone,WTE,NN,,,3,128,512.0,128.0,0.0028644722999867,400,0.0811709259080199,0.0005894635632888,0.9706345127495548,0.0050389451595974,0.9759636291757264,0.000108266961357,0.9652105159122356,1.2412670766236366e-16,0.22,1.0,0.976082229689662,0.5274525527933708,0.9759636291757264
14,314,0,1dpos,zone,onehot,NN,,,3,256,512.0,512.0,0.0038493393927915,400,0.2957031356786407,0.000711052811532,0.9724609606641628,0.0064238612231679,0.9791658430519864,0.000108266961357,0.9652105159122356,1.2412670766236366e-16,0.54,1.0,0.9792449100612768,0.6046464475796232,0.9791658430519864
15,315,0,cyclic,2dpos,5FTE,NN,16.0,5000.0,1,256,,,0.0633188385362311,300,0.0824350210424922,0.0001208832782066,0.9742636884759832,0.0037460100419746,0.9769519667918564,0.000108266961357,0.9652105159122356,1.2412670766236366e-16,0.24,1.0,0.9770705673057916,0.5617917641686272,0.9769519667918564
16,316,0,cyclic,2dpos,WTE,NN,16.0,5000.0,2,512,512.0,,0.0053725125148311,300,0.2892964478041289,0.0002480454263257,0.9734413915793634,0.004191213630087,0.9764775647361136,0.0002420922853116,0.9652105159122356,1.2412670766236366e-16,0.22,1.0,0.9768728997825658,0.550756233446146,0.9764775647361136
17,317,0,cyclic,2dpos,onehot,NN,16.0,5000.0,2,512,512.0,,0.00379955535936,500,0.0842292888052297,0.0006998425333753,0.9755327139750936,0.004236163722075,0.9779007709033406,8.839960377548457e-05,0.9652105159122356,1.2412670766236366e-16,0.6,1.0,0.9780589049219214,0.5846051811923749,0.9779007709033406
18,318,0,cyclic,elliptic,5FTE,NN,,,3,256,256.0,256.0,0.0245414934379582,500,0.0114910874251285,8.681284073699452e-05,0.9720102787112076,0.0054390648305024,0.9766752322593396,1.2412670766236366e-16,0.9641826447914608,0.0022983896981614,0.3,1.2,0.9766752322593398,0.5457353374594753,0.9766752322593396
19,319,0,cyclic,elliptic,WTE,NN,,,3,256,256.0,256.0,0.0202358666361239,400,0.0050249239414392,9.732178467265468e-05,0.971243328721091,0.0051949479848863,0.9763984977268232,0.000108266961357,0.9652105159122356,1.2412670766236366e-16,0.34,1.0,0.9764775647361138,0.5402902613479341,0.9763984977268232
