Index,opt,timeOpt,locOpt,catOpt,modelOpt,n_layers,n_units_layer_0,n_units_layer_1,n_units_layer_2,n_units_layer_3,lrate,nEpoch,dropout_prob,weight_decay,obj
82,4,raw,2dpos,onehot,NN,2,256,256,,,0.003687589,500,0.343957002,0.000366123,0.601341298
83,4,raw,polar,onehot,NN,3,256,256,64,,0.004677862,500,0.302056036,0.001006096,0.622808496
84,4,raw,elliptic,onehot,NN,2,512,128,,,0.002913053,500,0.268702737,0.000422756,0.620811168
85,4,addDur,raw,onehot,NN,3,512,128,128,,0.004498371,500,0.288520948,0.001031117,0.625047666
86,4,addDur,zone,onehot,NN,2,512,128,,,0.004101152,300,0.417237905,0.000650526,0.61838947
87,4,addDur,2dpos,onehot,NN,2,512,128,,,0.001937728,500,0.236594754,9.39E-05,0.60115635
88,4,addDur,polar,onehot,NN,2,512,128,,,0.0084221,300,0.248958048,0.000317573,0.623304543
89,4,addDur,elliptic,onehot,NN,2,512,128,,,0.0054708,500,0.423305945,0.000344845,0.623508032
90,4,cyclic,raw,onehot,NN,2,512,512,,,0.004375502,500,0.301823051,0.000855473,0.623885476
91,4,cyclic,zone,onehot,NN,1,512,,,,0.004646343,500,0.424228885,0.000813312,0.618409144
92,4,cyclic,2dpos,onehot,NN,3,512,64,256,,0.001332191,500,0.171632604,0.000261685,0.601356127
93,4,cyclic,polar,onehot,NN,2,512,128,,,0.006963201,300,0.291242691,0.000504551,0.623379429
94,4,cyclic,elliptic,onehot,NN,2,256,512,,,0.00369256,500,0.30990044,0.0008164,0.621364965
95,4,1dpos,raw,onehot,NN,3,64,256,256,,0.00440769,500,0.320714427,0.000578438,0.514079231
96,4,1dpos,zone,onehot,NN,2,64,64,,,0.008827318,200,0.212127395,0.001783012,0.525758456
97,4,1dpos,2dpos,onehot,NN,1,128,,,,0.007712844,300,0.286933128,0.00050978,0.461882499
98,4,1dpos,polar,onehot,NN,4,64,512,512,512,0.001871935,500,0.293209353,0.000514761,0.522286672
99,4,1dpos,elliptic,onehot,NN,3,128,256,128,,0.00732102,300,0.358111912,0.000629439,0.51344822
100,5,raw,raw,onehot,NN,2,512,512,,,0.004156386,500,0.323831304,0.000360148,0.624168927
101,5,raw,zone,onehot,NN,2,128,256,,,0.001186232,500,0.328796925,0.000399173,0.61945312
102,5,raw,2dpos,onehot,NN,2,512,512,,,0.001766136,500,0.300816828,0.000372741,0.600519392
103,5,raw,polar,onehot,NN,2,512,128,,,0.006068582,300,0.32198724,0.000535247,0.622755261
104,5,raw,elliptic,onehot,NN,2,256,256,,,0.014870353,500,0.337920915,0.000292694,0.619827443
105,5,addDur,raw,onehot,NN,3,256,512,256,,0.008848663,500,0.382670272,0.000910855,0.624310645
106,5,addDur,zone,onehot,NN,2,512,64,,,0.001649681,200,0.232755359,0.000640792,0.617244279
107,5,addDur,2dpos,onehot,NN,2,512,128,,,0.004483665,500,0.422305779,0.000250712,0.601843733
108,5,addDur,polar,onehot,NN,2,256,128,,,0.015494968,300,0.184859646,0.000352613,0.621826866
109,5,addDur,elliptic,onehot,NN,2,512,64,,,0.007195996,500,0.440718366,1.20E-05,0.620976392
110,5,cyclic,raw,onehot,NN,2,512,512,,,0.00342206,500,0.339758167,0.000702878,0.624618297
111,5,cyclic,zone,onehot,NN,1,128,,,,0.00867087,500,0.218906923,0.000277829,0.621238516
112,5,cyclic,2dpos,onehot,NN,3,256,128,512,,0.005258167,500,0.280249138,0.000317069,0.602180204
113,5,cyclic,polar,onehot,NN,2,512,128,,,0.004582287,500,0.290275286,0.000707058,0.624758963
114,5,cyclic,elliptic,onehot,NN,3,128,128,512,,0.011918836,500,0.221489726,0.000961674,0.621561328
115,5,1dpos,raw,onehot,NN,2,64,256,,,0.005479136,500,0.188900995,0.00061096,0.516683103
116,5,1dpos,zone,onehot,NN,1,128,,,,0.007517191,500,0.452698352,0.000940426,0.524015511
117,5,1dpos,2dpos,onehot,NN,1,64,,,,0.064170844,500,0.054178311,0.000214857,0.463968362
118,5,1dpos,polar,onehot,NN,2,256,128,,,0.004143135,500,0.285050775,0.000622193,0.518396284
119,5,1dpos,elliptic,onehot,NN,2,64,512,,,0.007180816,300,0.305009425,0.000923746,0.513860173
120,6,raw,raw,onehot,NN,3,64,128,512,,0.003399057,500,0.110878418,0.000997634,0.624659478
121,6,raw,zone,onehot,NN,1,512,,,,0.01573977,300,0.461297184,0.001133723,0.617286
122,6,raw,2dpos,onehot,NN,3,256,128,128,,0.007350885,300,0.202997875,6.50E-05,0.598884359
123,6,raw,polar,onehot,NN,2,512,128,,,0.002279479,500,0.13156253,0.000360551,0.623657816
124,6,raw,elliptic,onehot,NN,3,256,512,256,,0.006329619,500,0.442432516,0.000796254,0.619642486
125,6,addDur,raw,onehot,NN,3,256,512,64,,0.002500863,300,0.119886833,0.0008408,0.620298232
126,6,addDur,zone,onehot,NN,1,256,,,,0.018194967,500,0.067656908,0.000806128,0.617523926
127,6,addDur,2dpos,onehot,NN,2,256,128,,,0.014924802,500,0.218889451,0.000165292,0.602647245
128,6,addDur,polar,onehot,NN,2,256,256,,,0.002982478,500,0.155268908,0.000682144,0.62803216
129,6,addDur,elliptic,onehot,NN,2,512,64,,,0.009047681,500,0.161467752,0.001230277,0.620134295
130,6,cyclic,raw,onehot,NN,3,128,256,128,,0.00715099,500,0.299192199,0.000748921,0.624479062
131,6,cyclic,zone,onehot,NN,2,128,256,,,0.001716273,300,0.411228814,0.000167552,0.620098147
132,6,cyclic,2dpos,onehot,NN,4,128,128,128,256,0.003609994,500,0.30460171,0.000367287,0.600298146
133,6,cyclic,polar,onehot,NN,2,128,256,,,0.003501532,500,0.213688802,0.000760326,0.621477184
