Index,opt,timeOpt,locOpt,catOpt,modelOpt,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,obj
217,10,1dpos,2dpos,onehot,RF,450,50,4,1,log2,0.564296443
218,10,1dpos,polar,onehot,RF,225,50,5,1,sqrt,0.552381552
219,10,1dpos,elliptic,onehot,RF,850,60,2,1,log2,0.551251969
220,11,raw,raw,onehot,RF,525,75,9,4,,0.635013909
221,11,raw,zone,onehot,RF,775,30,8,4,sqrt,0.619694361
222,11,raw,2dpos,onehot,RF,1000,20,4,1,log2,0.652606398
223,11,raw,polar,onehot,RF,425,80,3,2,,0.636419295
224,11,raw,elliptic,onehot,RF,200,90,9,1,,0.636072506
225,11,addDur,raw,onehot,RF,400,50,3,2,sqrt,0.636345549
226,11,addDur,zone,onehot,RF,550,70,5,2,log2,0.622305989
227,11,addDur,2dpos,onehot,RF,1000,90,3,1,log2,0.650122623
228,11,addDur,polar,onehot,RF,350,,6,2,,0.635550618
229,11,addDur,elliptic,onehot,RF,375,35,9,3,,0.632461591
230,11,cyclic,raw,onehot,RF,475,50,5,6,,0.634370895
231,11,cyclic,zone,onehot,RF,175,25,6,1,log2,0.618849538
232,11,cyclic,2dpos,onehot,RF,975,100,6,1,log2,0.646027922
233,11,cyclic,polar,onehot,RF,925,25,5,1,,0.63492627
234,11,cyclic,elliptic,onehot,RF,300,25,5,3,,0.634815246
235,11,1dpos,raw,onehot,RF,950,65,6,1,,0.553980061
236,11,1dpos,zone,onehot,RF,950,40,7,1,sqrt,0.530389611
237,11,1dpos,2dpos,onehot,RF,150,55,7,3,log2,0.567610211
238,11,1dpos,polar,onehot,RF,925,75,2,1,log2,0.550894469
239,11,1dpos,elliptic,onehot,RF,1000,25,3,1,sqrt,0.550974572
240,12,raw,raw,onehot,RF,625,75,6,6,,0.634639994
241,12,raw,zone,onehot,RF,675,65,7,2,sqrt,0.619019586
242,12,raw,2dpos,onehot,RF,150,75,4,2,sqrt,0.652135018
243,12,raw,polar,onehot,RF,525,60,2,2,,0.634887071
244,12,raw,elliptic,onehot,RF,150,25,9,1,,0.634520542
245,12,addDur,raw,onehot,RF,525,70,6,2,log2,0.636395649
246,12,addDur,zone,onehot,RF,450,90,4,2,sqrt,0.620688012
247,12,addDur,2dpos,onehot,RF,700,70,6,1,log2,0.649875931
248,12,addDur,polar,onehot,RF,350,55,6,2,,0.633503064
249,12,addDur,elliptic,onehot,RF,575,25,7,3,,0.632900838
250,12,cyclic,raw,onehot,RF,275,60,3,6,,0.634149855
251,12,cyclic,zone,onehot,RF,550,90,10,1,log2,0.617523543
252,12,cyclic,2dpos,onehot,RF,575,95,5,1,sqrt,0.645408212
253,12,cyclic,polar,onehot,RF,875,30,9,1,,0.633926432
254,12,cyclic,elliptic,onehot,RF,300,35,8,2,,0.634378949
255,12,1dpos,raw,onehot,RF,275,70,3,1,sqrt,0.552100464
256,12,1dpos,zone,onehot,RF,925,25,5,1,log2,0.533538426
257,12,1dpos,2dpos,onehot,RF,850,40,9,2,log2,0.5675747
258,12,1dpos,polar,onehot,RF,550,30,2,1,sqrt,0.553021646
259,12,1dpos,elliptic,onehot,RF,925,50,5,2,sqrt,0.551786104
260,13,raw,raw,onehot,RF,925,70,3,1,log2,0.636667286
261,13,raw,zone,onehot,RF,875,80,3,3,log2,0.619205401
262,13,raw,2dpos,onehot,RF,625,35,6,1,log2,0.651056904
263,13,raw,polar,onehot,RF,700,20,3,1,,0.636433722
264,13,raw,elliptic,onehot,RF,150,60,10,1,,0.63358853
265,13,addDur,raw,onehot,RF,900,95,3,1,sqrt,0.63556085
266,13,addDur,zone,onehot,RF,250,40,2,3,log2,0.619740549
267,13,addDur,2dpos,onehot,RF,525,20,4,1,log2,0.651408778
268,13,addDur,polar,onehot,RF,325,65,6,2,,0.632946781
