Index,opt,timeOpt,locOpt,catOpt,modelOpt,kernel,C,class_weight,degree,coef0,gamma,obj
168,8,addDur,polar,onehot,SV,rbf,1.133972925,,,,0.354887937,0.609160524
169,8,addDur,elliptic,onehot,SV,rbf,0.838252536,,,,0.326529586,0.611403777
170,8,cyclic,raw,onehot,SV,poly,4.470564083,,3,0.156612599,0.05366088,0.590102655
171,8,cyclic,zone,onehot,SV,poly,0.198798725,,2,0.109461742,0.287965896,0.612779108
172,8,cyclic,2dpos,onehot,SV,rbf,8.097283828,,,,0.600856386,0.573048981
173,8,cyclic,polar,onehot,SV,rbf,1.629998202,balanced,,,0.531999541,0.565472246
174,8,cyclic,elliptic,onehot,SV,rbf,1.039810902,,,,0.355155974,0.611456086
175,8,1dpos,raw,onehot,SV,poly,0.017342786,,3,0.614517777,0.295536498,0.463947263
176,8,1dpos,zone,onehot,SV,poly,0.021898154,,2,0.391886962,0.810074325,0.514660874
177,8,1dpos,2dpos,onehot,SV,poly,0.09380041,,3,0.981915064,0.914050158,0.449267349
178,8,1dpos,polar,onehot,SV,rbf,2.906478125,,,,0.056914367,0.485552698
179,8,1dpos,elliptic,onehot,SV,poly,0.295883257,,3,0.520401901,0.08805094,0.475924248
180,9,raw,raw,onehot,SV,rbf,0.651187591,,,,0.341547737,0.60391584
181,9,raw,zone,onehot,SV,rbf,0.479401815,,,,0.466372261,0.611807142
182,9,raw,2dpos,onehot,SV,rbf,9.233663803,,,,0.353913961,0.580662536
183,9,raw,polar,onehot,SV,rbf,0.961600824,,,,0.820436594,0.602666873
184,9,raw,elliptic,onehot,SV,rbf,0.78715167,,,,0.303767377,0.612281648
185,9,addDur,raw,onehot,SV,rbf,1.338159491,,,,0.698476693,0.602009279
186,9,addDur,zone,onehot,SV,rbf,1.200116494,,,,0.223971788,0.613938373
187,9,addDur,2dpos,onehot,SV,poly,0.055620869,,3,-0.867839247,0.712588667,0.578737318
188,9,addDur,polar,onehot,SV,rbf,0.3286199,,,,0.271298873,0.602512705
