Index,opt,timeOpt,locOpt,catOpt,modelOpt,max_depth,learning_rate,n_estimators,subsample,colsample_bytree,obj
45,2,addDur,raw,onehot,XG,12,0.017617885,245,0.946523367,0.624467283,0.651598261
46,2,addDur,zone,onehot,XG,4,0.035582157,277,0.87183031,0.958601853,0.619083023
47,2,addDur,2dpos,onehot,XG,14,0.027674464,176,0.798211718,0.652293869,0.653150181
48,2,addDur,polar,onehot,XG,10,0.04172955,205,0.909521865,0.637232139,0.64911589
49,2,addDur,elliptic,onehot,XG,13,0.023917195,148,0.846095862,0.670001256,0.645540817
50,2,cyclic,raw,onehot,XG,10,0.03021964,250,0.657730871,0.695278933,0.649086174
51,2,cyclic,zone,onehot,XG,6,0.023661691,195,0.66466482,0.718375369,0.617341906
52,2,cyclic,2dpos,onehot,XG,12,0.030605972,233,0.89283762,0.600519331,0.652767992
53,2,cyclic,polar,onehot,XG,9,0.03013446,272,0.880590792,0.959031817,0.644740352
54,2,cyclic,elliptic,onehot,XG,13,0.02093749,265,0.856068326,0.685928616,0.645529848
55,2,1dpos,raw,onehot,XG,10,0.059751694,190,0.961445169,0.697030671,0.574280227
56,2,1dpos,zone,onehot,XG,9,0.123811728,273,0.919331703,0.812082493,0.544917989
57,2,1dpos,2dpos,onehot,XG,10,0.068439085,280,0.964412454,0.613282069,0.577531829
58,2,1dpos,polar,onehot,XG,12,0.044896552,265,0.860867138,0.702005673,0.569573373
59,2,1dpos,elliptic,onehot,XG,12,0.035703749,300,0.812699816,0.614277154,0.566645853
60,3,raw,raw,onehot,XG,12,0.029532012,163,0.920258199,0.610460373,0.653899751
61,3,raw,zone,onehot,XG,6,0.025614508,276,0.817551123,0.782650235,0.618564999
62,3,raw,2dpos,onehot,XG,13,0.013704038,208,0.651931439,0.653228458,0.655392386
63,3,raw,polar,onehot,XG,12,0.02090751,274,0.822367091,0.623182907,0.647599848
64,3,raw,elliptic,onehot,XG,14,0.011521966,234,0.850059441,0.838807363,0.647339189
65,3,addDur,raw,onehot,XG,13,0.033147028,259,0.68532917,0.647753492,0.652577084
66,3,addDur,zone,onehot,XG,5,0.061460192,169,0.893001195,0.833414442,0.617985518
67,3,addDur,2dpos,onehot,XG,12,0.017131481,298,0.693151244,0.600454304,0.65209185
68,3,addDur,polar,onehot,XG,9,0.039638651,275,0.916450881,0.677494227,0.647876388
69,3,addDur,elliptic,onehot,XG,11,0.019444924,291,0.702060201,0.639299876,0.644968761
70,3,cyclic,raw,onehot,XG,9,0.047226632,258,0.630642864,0.889744942,0.649017745
71,3,cyclic,zone,onehot,XG,5,0.081010812,237,0.862372153,0.828902874,0.616504823
72,3,cyclic,2dpos,onehot,XG,9,0.041109698,195,0.831056165,0.688470912,0.652293992
73,3,cyclic,polar,onehot,XG,10,0.033449447,277,0.771985236,0.850709213,0.645215784
