Index,opt,timeOpt,locOpt,catOpt,modelOpt,max_depth,learning_rate,n_estimators,subsample,colsample_bytree,obj
288,14,addDur,polar,onehot,XG,12,0.014694898,280,0.874266442,0.623174242,0.645234353
289,14,addDur,elliptic,onehot,XG,13,0.021520524,204,0.787251902,0.778786675,0.64189468
290,14,cyclic,raw,onehot,XG,8,0.073899928,149,0.643101022,0.704896845,0.648079015
291,14,cyclic,zone,onehot,XG,5,0.037169926,238,0.939696029,0.627352927,0.616661481
292,14,cyclic,2dpos,onehot,XG,11,0.023166695,296,0.627825913,0.616174018,0.651818349
293,14,cyclic,polar,onehot,XG,8,0.052969441,220,0.851868682,0.968862829,0.64364466
294,14,cyclic,elliptic,onehot,XG,9,0.103534525,132,0.660803606,0.643766506,0.640783216
295,14,1dpos,raw,onehot,XG,11,0.066706905,264,0.85850447,0.805899402,0.570354894
296,14,1dpos,zone,onehot,XG,13,0.130025443,161,0.948138018,0.667450258,0.538660378
297,14,1dpos,2dpos,onehot,XG,11,0.05056904,295,0.874497278,0.651669033,0.576186943
298,14,1dpos,polar,onehot,XG,9,0.044609823,243,0.85818766,0.916061662,0.565237894
299,14,1dpos,elliptic,onehot,XG,10,0.097273287,261,0.969739594,0.816980134,0.562932019
300,15,raw,raw,onehot,XG,10,0.025638147,296,0.701667466,0.612952292,0.650110176
301,15,raw,zone,onehot,XG,5,0.175834253,106,0.843599108,0.739139716,0.619378221
302,15,raw,2dpos,onehot,XG,14,0.010344168,196,0.644104567,0.600227952,0.655352447
303,15,raw,polar,onehot,XG,10,0.026981564,295,0.834227043,0.63545069,0.647769171
304,15,raw,elliptic,onehot,XG,10,0.043758307,254,0.891680522,0.815448531,0.64543573
305,15,addDur,raw,onehot,XG,11,0.033106594,252,0.957345322,0.681745444,0.651061777
306,15,addDur,zone,onehot,XG,6,0.030709039,234,0.714952572,0.711250805,0.617435819
307,15,addDur,2dpos,onehot,XG,8,0.058383137,182,0.863413932,0.722391098,0.651903655
308,15,addDur,polar,onehot,XG,9,0.04540923,239,0.790069387,0.75439641,0.650160942
309,15,addDur,elliptic,onehot,XG,14,0.01105811,298,0.847152605,0.67360664,0.643832352
310,15,cyclic,raw,onehot,XG,11,0.036570883,279,0.715801555,0.658206483,0.649021034
311,15,cyclic,zone,onehot,XG,5,0.037429802,225,0.9277328,0.866833633,0.616991785
312,15,cyclic,2dpos,onehot,XG,10,0.037532358,221,0.787238128,0.620596849,0.652006804
313,15,cyclic,polar,onehot,XG,8,0.063623579,221,0.668373445,0.713218968,0.644208076
314,15,cyclic,elliptic,onehot,XG,9,0.024997555,289,0.879930416,0.633097411,0.642577597
315,15,1dpos,raw,onehot,XG,10,0.052779557,268,0.887577033,0.974349831,0.572139816
316,15,1dpos,zone,onehot,XG,9,0.120842327,211,0.736474257,0.607915542,0.543948678
317,15,1dpos,2dpos,onehot,XG,10,0.09140567,174,0.849737909,0.782817334,0.5704312
318,15,1dpos,polar,onehot,XG,10,0.087573315,278,0.990613632,0.609523897,0.570308448
319,15,1dpos,elliptic,onehot,XG,11,0.055801163,245,0.728022771,0.6688297,0.563409511
