Index,opt,timeOpt,locOpt,catOpt,modelOpt,iterations,learning_rate,depth,l2_leaf_reg,border_count,auto_class_weights,obj
94,4,cyclic,elliptic,catboost,CB,700,0.038192503,7,1.460220831,100,SqrtBalanced,0.634420854
95,4,1dpos,raw,catboost,CB,600,0.064031375,7,0.137021006,104,,0.558938022
96,4,1dpos,zone,catboost,CB,700,0.01870344,9,0.455503463,123,,0.528390422
97,4,1dpos,2dpos,catboost,CB,800,0.034456315,9,0.201312079,123,,0.56064036
98,4,1dpos,polar,catboost,CB,800,0.094263239,6,0.152697183,126,,0.55790051
99,4,1dpos,elliptic,catboost,CB,800,0.050884717,7,0.756097571,96,,0.552382811
100,5,raw,raw,catboost,CB,700,0.165026054,6,0.136845664,126,,0.645157506
101,5,raw,zone,catboost,CB,700,0.011280461,7,0.108623728,117,,0.620610156
102,5,raw,2dpos,catboost,CB,700,0.066442417,8,0.261318653,128,,0.647506875
103,5,raw,polar,catboost,CB,800,0.031320178,8,0.18338547,88,,0.639128619
104,5,raw,elliptic,catboost,CB,600,0.074609981,7,0.865387681,82,,0.636656764
105,5,addDur,raw,catboost,CB,500,0.068198851,9,0.316790495,122,,0.64378401
106,5,addDur,zone,catboost,CB,400,0.024706262,8,1.155085504,52,,0.620740494
107,5,addDur,2dpos,catboost,CB,800,0.060085283,7,0.835450542,73,,0.643967477
108,5,addDur,polar,catboost,CB,700,0.037634182,8,0.420589335,65,,0.637072673
109,5,addDur,elliptic,catboost,CB,600,0.036558324,8,0.103512994,82,,0.636634527
110,5,cyclic,raw,catboost,CB,600,0.086462305,6,0.364808903,100,,0.645019476
111,5,cyclic,zone,catboost,CB,500,0.025186898,6,3.963385426,66,,0.616014155
112,5,cyclic,2dpos,catboost,CB,800,0.042715449,7,0.270857772,116,,0.645407771
113,5,cyclic,polar,catboost,CB,800,0.044634558,8,0.691700636,116,,0.639709401
114,5,cyclic,elliptic,catboost,CB,700,0.028605651,7,0.655791318,65,SqrtBalanced,0.634005383
115,5,1dpos,raw,catboost,CB,700,0.021537056,9,0.175688251,108,,0.559388675
116,5,1dpos,zone,catboost,CB,700,0.019009084,7,0.638048151,119,,0.52571179
117,5,1dpos,2dpos,catboost,CB,500,0.083371378,6,0.13758071,104,,0.560957116
118,5,1dpos,polar,catboost,CB,800,0.151616253,5,1.449921675,125,,0.556260579
119,5,1dpos,elliptic,catboost,CB,500,0.071067619,8,0.719448271,123,,0.55191968
120,6,raw,raw,catboost,CB,700,0.058260444,5,0.173737884,124,,0.640833892
121,6,raw,zone,catboost,CB,700,0.007283839,9,0.75959734,115,,0.620728538
122,6,raw,2dpos,catboost,CB,600,0.081908008,6,0.246570317,87,,0.639338705
123,6,raw,polar,catboost,CB,500,0.091300132,5,0.327064762,82,,0.635680984
124,6,raw,elliptic,catboost,CB,800,0.12286736,5,0.151217539,124,,0.634122882
125,6,addDur,raw,catboost,CB,700,0.171886861,4,8.667670178,110,,0.640749177
126,6,addDur,zone,catboost,CB,300,0.016039077,9,2.43448153,75,,0.620723353
127,6,addDur,2dpos,catboost,CB,600,0.132900485,4,3.262022264,94,,0.638936424
128,6,addDur,polar,catboost,CB,700,0.091317452,5,0.409098652,114,,0.637706907
129,6,addDur,elliptic,catboost,CB,800,0.054015271,5,0.891528664,128,,0.632706844
130,6,cyclic,raw,catboost,CB,500,0.087404841,6,8.707820517,88,,0.638077772
131,6,cyclic,zone,catboost,CB,700,0.006665475,8,0.257860196,110,,0.620644299
132,6,cyclic,2dpos,catboost,CB,600,0.043961723,7,5.120083055,123,,0.638865809
133,6,cyclic,polar,catboost,CB,600,0.092096629,6,5.181813912,124,,0.63653736
134,6,cyclic,elliptic,catboost,CB,700,0.033399687,7,1.081384097,104,,0.631018671
135,6,1dpos,raw,catboost,CB,800,0.086974428,4,5.000836931,92,,0.552085132
136,6,1dpos,zone,catboost,CB,700,0.05070927,6,4.402517103,127,,0.52767049
137,6,1dpos,2dpos,catboost,CB,700,0.040042153,7,0.103312259,112,,0.562333652
138,6,1dpos,polar,catboost,CB,400,0.122807041,5,0.958163165,95,,0.551169215
139,6,1dpos,elliptic,catboost,CB,800,0.097409468,6,0.276210381,96,,0.550728903
140,7,raw,raw,catboost,CB,600,0.053430845,8,0.231404842,108,,0.645337322
141,7,raw,zone,catboost,CB,700,0.011922909,7,3.070397706,122,,0.618254362
142,7,raw,2dpos,catboost,CB,600,0.080392951,8,0.562421261,113,,0.647687767
143,7,raw,polar,catboost,CB,800,0.18790138,6,8.451727256,121,,0.640967386
144,7,raw,elliptic,catboost,CB,500,0.110853592,7,0.42022481,101,,0.638582484
145,7,addDur,raw,catboost,CB,800,0.109206631,7,0.843414633,107,,0.644963832
146,7,addDur,zone,catboost,CB,300,0.03359744,7,6.403949372,107,,0.618200792
147,7,addDur,2dpos,catboost,CB,700,0.037826653,9,0.144237983,117,,0.645855355
148,7,addDur,polar,catboost,CB,500,0.034824876,9,0.169812512,108,,0.638306103
149,7,addDur,elliptic,catboost,CB,300,0.105018108,7,0.661134255,118,,0.635888418
150,7,cyclic,raw,catboost,CB,700,0.097977536,6,0.175761816,125,,0.644133886
151,7,cyclic,zone,catboost,CB,800,0.013413512,6,2.813398514,102,,0.61644265
152,7,cyclic,2dpos,catboost,CB,300,0.084404071,8,0.168614697,126,,0.643049043
153,7,cyclic,polar,catboost,CB,700,0.08620641,5,0.145672375,111,,0.637184108
154,7,cyclic,elliptic,catboost,CB,300,0.141963422,6,0.14770733,120,,0.636190514
155,7,1dpos,raw,catboost,CB,800,0.047293894,6,0.17837556,105,,0.561106231
156,7,1dpos,zone,catboost,CB,700,0.056170634,5,0.154839733,116,,0.526764951
157,7,1dpos,2dpos,catboost,CB,800,0.059878839,6,0.890622355,86,,0.560695905
158,7,1dpos,polar,catboost,CB,800,0.16280969,5,2.117719157,121,,0.554924187
159,7,1dpos,elliptic,catboost,CB,800,0.13183592,5,1.678532675,121,,0.553705114
160,8,raw,raw,catboost,CB,800,0.136286953,5,0.272261908,109,,0.643281514
161,8,raw,zone,catboost,CB,600,0.024753999,7,1.976360708,71,,0.616834652
162,8,raw,2dpos,catboost,CB,800,0.036803391,6,0.312987452,94,,0.642865911
163,8,raw,polar,catboost,CB,300,0.109209446,8,1.308646998,119,,0.640924724
164,8,raw,elliptic,catboost,CB,600,0.155016802,5,1.408193836,32,,0.634676006
165,8,addDur,raw,catboost,CB,500,0.067459393,6,2.240229044,87,,0.638017788
166,8,addDur,zone,catboost,CB,500,0.035768968,8,4.462731921,51,,0.620855663
167,8,addDur,2dpos,catboost,CB,600,0.10567549,5,0.355685721,128,,0.643429678
168,8,addDur,polar,catboost,CB,500,0.074901142,6,0.623045305,119,,0.638632397
169,8,addDur,elliptic,catboost,CB,400,0.114251794,6,1.887701129,70,,0.632695202
170,8,cyclic,raw,catboost,CB,700,0.065896223,6,0.771714156,113,,0.641430439
171,8,cyclic,zone,catboost,CB,500,0.032374064,6,4.094973642,92,,0.621025798
172,8,cyclic,2dpos,catboost,CB,800,0.066876757,7,0.214008514,124,,0.642279909
173,8,cyclic,polar,catboost,CB,700,0.079696059,5,3.677601599,114,,0.635126036
174,8,cyclic,elliptic,catboost,CB,600,0.08043267,6,0.100517738,106,,0.634700413
175,8,1dpos,raw,catboost,CB,700,0.096149218,6,1.548606649,66,,0.550803399
176,8,1dpos,zone,catboost,CB,300,0.063295276,9,9.510055968,75,,0.525420583
177,8,1dpos,2dpos,catboost,CB,700,0.051343674,8,0.316689527,93,,0.552646294
178,8,1dpos,polar,catboost,CB,600,0.155875456,5,0.48077841,105,,0.543152409
179,8,1dpos,elliptic,catboost,CB,800,0.096990068,5,0.309666941,114,,0.544396732
180,9,raw,raw,catboost,CB,800,0.186326412,5,5.02629988,96,,0.642414035
181,9,raw,zone,catboost,CB,500,0.014401463,9,1.165350576,115,,0.623025469
182,9,raw,2dpos,catboost,CB,800,0.193495425,4,4.429825883,124,,0.642529144
183,9,raw,polar,catboost,CB,700,0.088227327,7,0.219047379,102,,0.637164876
184,9,raw,elliptic,catboost,CB,600,0.126011178,5,2.143176503,53,,0.633251516
185,9,addDur,raw,catboost,CB,700,0.143176846,5,2.10042112,113,,0.640823102
186,9,addDur,zone,catboost,CB,800,0.006878896,10,0.418503457,117,,0.621694457
187,9,addDur,2dpos,catboost,CB,500,0.152987183,5,8.127043878,109,,0.640624697
188,9,addDur,polar,catboost,CB,500,0.054533683,7,0.1969164,128,,0.636167843
189,9,addDur,elliptic,catboost,CB,800,0.049278604,6,0.171795734,42,,0.6339778
190,9,cyclic,raw,catboost,CB,600,0.075668096,5,6.263850669,101,,0.6398209
191,9,cyclic,zone,catboost,CB,700,0.008931036,7,8.314001927,75,,0.620177767
192,9,cyclic,2dpos,catboost,CB,700,0.058874685,7,2.183270321,128,,0.64342889
193,9,cyclic,polar,catboost,CB,400,0.119521796,6,0.592401388,116,,0.636461918
194,9,cyclic,elliptic,catboost,CB,800,0.075810826,6,4.846334251,112,,0.633817643
195,9,1dpos,raw,catboost,CB,700,0.065591146,7,0.110221067,122,,0.550827519
