sid,aid,routes,month,dow,dep,arr,nTrans,tway,OriLat,OriLon,DesLat,DesLon,OriZone,DesZone,oppo,typeD,nwDist,eucDist,caruse
157,,122,4,Monday,725,733,0,0,44.970998,-93.245561,44.980616,-93.239529,Univ of Minnesota,Univ of Minnesota,0,Home,0.727050468,0.727048661,0
158,,122,4,Monday,748,756,0,0,44.970998,-93.245561,44.980616,-93.239529,Univ of Minnesota,Univ of Minnesota,0,Home,0.727050468,0.727048661,0
159,,122_121,4,Monday,727.22,752.78,1,0,44.980616,-93.239529,44.984488,-93.181641,Univ of Minnesota,Univ of Minnesota,0,Ed,3.024559835,2.843036412,0
160,,122,4,Monday,782,792,0,0,44.976759,-93.229845,44.970998,-93.245561,Univ of Minnesota,Univ of Minnesota,0,Ed,0.865407744,0.865405593,0
161,,122,4,Monday,815,823,0,0,44.970998,-93.245561,44.980616,-93.239529,Univ of Minnesota,Univ of Minnesota,0,Home,0.727050468,0.727048661,0
162,,122,4,Monday,813,821,0,0,44.970998,-93.245561,44.980616,-93.239529,Univ of Minnesota,Univ of Minnesota,0,Home,0.727050468,0.727048661,0
163,,122,4,Monday,783,792,0,0,44.970998,-93.245561,44.978986,-93.235429,Univ of Minnesota,Univ of Minnesota,0,Home,0.741646512,0.741644668,0
164,,122,4,Monday,782.5,791.5,0,0,44.970998,-93.245561,44.978986,-93.235429,Univ of Minnesota,Univ of Minnesota,0,Ed,0.741646512,0.741644668,0
165,,122,4,Monday,787,794,0,0,44.980616,-93.239529,44.976759,-93.229845,Univ of Minnesota,Univ of Minnesota,1,Ed,0.543341175,0.543339825,0
166,,122,4,Monday,808,816,0,0,44.978986,-93.235429,44.973746,-93.235586,Univ of Minnesota,Univ of Minnesota,0,Ed,0.362131791,0.362130891,0
168,,122,4,Monday,787,795,0,0,44.970998,-93.245561,44.980616,-93.239529,Univ of Minnesota,Univ of Minnesota,0,Home,0.727050468,0.727048661,0
169,,122,4,Monday,790,802,0,0,44.970998,-93.245561,44.973746,-93.235586,Univ of Minnesota,Univ of Minnesota,0,Ed,0.52338094,0.523379639,0
170,,122,4,Monday,828,833,0,0,44.976759,-93.229845,44.975235,-93.226948,Univ of Minnesota,Univ of Minnesota,0,Ed,0.176499603,0.176499164,0
171,,122,4,Monday,787.5,794.5,0,0,44.980616,-93.239529,44.976759,-93.229845,Univ of Minnesota,Univ of Minnesota,1,O,0.543341175,0.543339825,0
172,,122,4,Monday,849.5,857.5,0,0,44.976759,-93.229845,44.972534,-93.243642,Univ of Minnesota,Univ of Minnesota,1,Ed,0.735055592,0.735053765,0
173,,122,4,Monday,848.5,854.5,0,0,44.973746,-93.235586,44.972534,-93.243642,Univ of Minnesota,Univ of Minnesota,1,Home,0.402700565,0.402699564,0
