globalInd,opt,timeOpt,locOpt,catOpt,modelOpt,encDim,denom
289,0,cyclic,2dpos,WTE,RF,24,5000
290,0,cyclic,2dpos,WTE,RF,24,10000
291,0,cyclic,2dpos,onehot,RF,8,2500
292,0,cyclic,2dpos,onehot,RF,8,5000
293,0,cyclic,2dpos,onehot,RF,8,10000
294,0,cyclic,2dpos,onehot,RF,16,2500
295,0,cyclic,2dpos,onehot,RF,16,5000
296,0,cyclic,2dpos,onehot,RF,16,10000
297,0,cyclic,2dpos,onehot,RF,24,2500
298,0,cyclic,2dpos,onehot,RF,24,5000
299,0,cyclic,2dpos,onehot,RF,24,10000
300,0,cyclic,elliptic,5FTE,RF,,
301,0,cyclic,elliptic,WTE,RF,,
302,0,cyclic,elliptic,onehot,RF,,
303,0,cyclic,polar,5FTE,RF,,
304,0,cyclic,polar,WTE,RF,,
305,0,cyclic,polar,onehot,RF,,
306,0,cyclic,raw,5FTE,RF,,
307,0,cyclic,raw,WTE,RF,,
308,0,cyclic,raw,onehot,RF,,
309,0,cyclic,zone,5FTE,RF,,
310,0,cyclic,zone,WTE,RF,,
311,0,cyclic,zone,onehot,RF,,
312,0,raw,2dpos,5FTE,RF,8,2500
313,0,raw,2dpos,5FTE,RF,8,5000
314,0,raw,2dpos,5FTE,RF,8,10000
315,0,raw,2dpos,5FTE,RF,16,2500
316,0,raw,2dpos,5FTE,RF,16,5000
317,0,raw,2dpos,5FTE,RF,16,10000
318,0,raw,2dpos,5FTE,RF,24,2500
319,0,raw,2dpos,5FTE,RF,24,5000
320,0,raw,2dpos,5FTE,RF,24,10000
321,0,raw,2dpos,WTE,RF,8,2500
322,0,raw,2dpos,WTE,RF,8,5000
323,0,raw,2dpos,WTE,RF,8,10000
324,0,raw,2dpos,WTE,RF,16,2500
325,0,raw,2dpos,WTE,RF,16,5000
326,0,raw,2dpos,WTE,RF,16,10000
327,0,raw,2dpos,WTE,RF,24,2500
328,0,raw,2dpos,WTE,RF,24,5000
329,0,raw,2dpos,WTE,RF,24,10000
330,0,raw,2dpos,onehot,RF,8,2500
331,0,raw,2dpos,onehot,RF,8,5000
332,0,raw,2dpos,onehot,RF,8,10000
333,0,raw,2dpos,onehot,RF,16,2500
334,0,raw,2dpos,onehot,RF,16,5000
335,0,raw,2dpos,onehot,RF,16,10000
336,0,raw,2dpos,onehot,RF,24,2500
337,0,raw,2dpos,onehot,RF,24,5000
338,0,raw,2dpos,onehot,RF,24,10000
339,0,raw,elliptic,5FTE,RF,,
340,0,raw,elliptic,WTE,RF,,
341,0,raw,elliptic,onehot,RF,,
342,0,raw,polar,5FTE,RF,,
343,0,raw,polar,WTE,RF,,
344,0,raw,polar,onehot,RF,,
345,0,raw,raw,5FTE,RF,,
346,0,raw,raw,WTE,RF,,
347,0,raw,raw,onehot,RF,,
348,0,raw,zone,5FTE,RF,,
349,0,raw,zone,WTE,RF,,
350,0,raw,zone,onehot,RF,,
351,1,1dpos,2dpos,5FTE,RF,8,2500
352,1,1dpos,2dpos,5FTE,RF,8,5000
353,1,1dpos,2dpos,5FTE,RF,8,10000
354,1,1dpos,2dpos,5FTE,RF,16,2500
355,1,1dpos,2dpos,5FTE,RF,16,5000
356,1,1dpos,2dpos,5FTE,RF,16,10000
357,1,1dpos,2dpos,5FTE,RF,24,2500
358,1,1dpos,2dpos,5FTE,RF,24,5000
359,1,1dpos,2dpos,5FTE,RF,24,10000
360,1,1dpos,2dpos,WTE,RF,8,2500
361,1,1dpos,2dpos,WTE,RF,8,5000
362,1,1dpos,2dpos,WTE,RF,8,10000
363,1,1dpos,2dpos,WTE,RF,16,2500
364,1,1dpos,2dpos,WTE,RF,16,5000
365,1,1dpos,2dpos,WTE,RF,16,10000
366,1,1dpos,2dpos,WTE,RF,24,2500
367,1,1dpos,2dpos,WTE,RF,24,5000
368,1,1dpos,2dpos,WTE,RF,24,10000
369,1,1dpos,2dpos,onehot,RF,8,2500
370,1,1dpos,2dpos,onehot,RF,8,5000
371,1,1dpos,2dpos,onehot,RF,8,10000
372,1,1dpos,2dpos,onehot,RF,16,2500
373,1,1dpos,2dpos,onehot,RF,16,5000
374,1,1dpos,2dpos,onehot,RF,16,10000
375,1,1dpos,2dpos,onehot,RF,24,2500
376,1,1dpos,2dpos,onehot,RF,24,5000
377,1,1dpos,2dpos,onehot,RF,24,10000
378,1,1dpos,elliptic,5FTE,RF,,
379,1,1dpos,elliptic,WTE,RF,,
380,1,1dpos,elliptic,onehot,RF,,
381,1,1dpos,polar,5FTE,RF,,
382,1,1dpos,polar,WTE,RF,,
383,1,1dpos,polar,onehot,RF,,
384,1,1dpos,raw,5FTE,RF,,
385,1,1dpos,raw,WTE,RF,,
386,1,1dpos,raw,onehot,RF,,
387,1,1dpos,zone,5FTE,RF,,
388,1,1dpos,zone,WTE,RF,,
389,1,1dpos,zone,onehot,RF,,
390,1,cyclic,2dpos,5FTE,RF,8,2500
391,1,cyclic,2dpos,5FTE,RF,8,5000
392,1,cyclic,2dpos,5FTE,RF,8,10000
393,1,cyclic,2dpos,5FTE,RF,16,2500
394,1,cyclic,2dpos,5FTE,RF,16,5000
395,1,cyclic,2dpos,5FTE,RF,16,10000
396,1,cyclic,2dpos,5FTE,RF,24,2500
397,1,cyclic,2dpos,5FTE,RF,24,5000
398,1,cyclic,2dpos,5FTE,RF,24,10000
399,1,cyclic,2dpos,WTE,RF,8,2500
400,1,cyclic,2dpos,WTE,RF,8,5000
401,1,cyclic,2dpos,WTE,RF,8,10000
402,1,cyclic,2dpos,WTE,RF,16,2500
403,1,cyclic,2dpos,WTE,RF,16,5000
404,1,cyclic,2dpos,WTE,RF,16,10000
405,1,cyclic,2dpos,WTE,RF,24,2500
406,1,cyclic,2dpos,WTE,RF,24,5000
407,1,cyclic,2dpos,WTE,RF,24,10000
408,1,cyclic,2dpos,onehot,RF,8,2500
409,1,cyclic,2dpos,onehot,RF,8,5000
410,1,cyclic,2dpos,onehot,RF,8,10000
411,1,cyclic,2dpos,onehot,RF,16,2500
412,1,cyclic,2dpos,onehot,RF,16,5000
413,1,cyclic,2dpos,onehot,RF,16,10000
414,1,cyclic,2dpos,onehot,RF,24,2500
415,1,cyclic,2dpos,onehot,RF,24,5000
416,1,cyclic,2dpos,onehot,RF,24,10000
417,1,cyclic,elliptic,5FTE,RF,,
418,1,cyclic,elliptic,WTE,RF,,
419,1,cyclic,elliptic,onehot,RF,,
420,1,cyclic,polar,5FTE,RF,,
421,1,cyclic,polar,WTE,RF,,
422,1,cyclic,polar,onehot,RF,,
423,1,cyclic,raw,5FTE,RF,,
424,1,cyclic,raw,WTE,RF,,
425,1,cyclic,raw,onehot,RF,,
426,1,cyclic,zone,5FTE,RF,,
427,1,cyclic,zone,WTE,RF,,
428,1,cyclic,zone,onehot,RF,,
429,1,raw,2dpos,5FTE,RF,8,2500
430,1,raw,2dpos,5FTE,RF,8,5000
431,1,raw,2dpos,5FTE,RF,8,10000
432,1,raw,2dpos,5FTE,RF,16,2500
433,1,raw,2dpos,5FTE,RF,16,5000
434,1,raw,2dpos,5FTE,RF,16,10000
435,1,raw,2dpos,5FTE,RF,24,2500
436,1,raw,2dpos,5FTE,RF,24,5000
437,1,raw,2dpos,5FTE,RF,24,10000
438,1,raw,2dpos,WTE,RF,8,2500
439,1,raw,2dpos,WTE,RF,8,5000
440,1,raw,2dpos,WTE,RF,8,10000
441,1,raw,2dpos,WTE,RF,16,2500
442,1,raw,2dpos,WTE,RF,16,5000
443,1,raw,2dpos,WTE,RF,16,10000
444,1,raw,2dpos,WTE,RF,24,2500
445,1,raw,2dpos,WTE,RF,24,5000
446,1,raw,2dpos,WTE,RF,24,10000
447,1,raw,2dpos,onehot,RF,8,2500
448,1,raw,2dpos,onehot,RF,8,5000
449,1,raw,2dpos,onehot,RF,8,10000
450,1,raw,2dpos,onehot,RF,16,2500
451,1,raw,2dpos,onehot,RF,16,5000
452,1,raw,2dpos,onehot,RF,16,10000
453,1,raw,2dpos,onehot,RF,24,2500
454,1,raw,2dpos,onehot,RF,24,5000
455,1,raw,2dpos,onehot,RF,24,10000
456,1,raw,elliptic,5FTE,RF,,
457,1,raw,elliptic,WTE,RF,,
458,1,raw,elliptic,onehot,RF,,
459,1,raw,polar,5FTE,RF,,
460,1,raw,polar,WTE,RF,,
461,1,raw,polar,onehot,RF,,
462,1,raw,raw,5FTE,RF,,
463,1,raw,raw,WTE,RF,,
464,1,raw,raw,onehot,RF,,
465,1,raw,zone,5FTE,RF,,
466,1,raw,zone,WTE,RF,,
467,1,raw,zone,onehot,RF,,
