Index,globalInd,opt,timeOpt,locOpt,catOpt,modelOpt,encDim,denom,n_layers,n_units_layer_0,n_units_layer_1,n_units_layer_2,lrate,nEpoch,dropout_prob,weight_decay,objmean,objsd,meantop5,sdtop5,meanbottom5,sdbottom5,meantime,long5time,bestobj,wf1top5,acctop5
60,840,0,cyclic,2dpos,onehot,NN,16,2500,2,512,128,,0.001769078,200,0.471136104,0.000442677,0.61537458,0.009276905,0.627199051,0.000894978,0.595137379,0.003167001,3.42,8.4,0.628385056,0.640475311,0.565250049
61,841,0,cyclic,2dpos,onehot,NN,16,5000,2,512,512,,0.001265096,500,0.467488809,9.26E-05,0.615750148,0.009399454,0.628029255,0.001565197,0.595730381,0.006188604,7.18,14.2,0.629966397,0.623616089,0.559794426
62,842,0,cyclic,2dpos,onehot,NN,16,10000,1,512,,,0.001801787,200,0.498609058,1.60E-05,0.617497529,0.0100998,0.628464123,0.000798048,0.596797786,0.007725994,3.52,10,0.629768729,0.642377806,0.565763985
63,843,0,cyclic,2dpos,onehot,NN,24,2500,3,512,128,128,0.00354375,200,0.43966983,2.46E-05,0.614884364,0.010945233,0.629136193,0.002336326,0.591856098,0.001501493,3.48,8.2,0.631943072,0.622543416,0.553627199
64,844,0,cyclic,2dpos,onehot,NN,24,5000,1,512,,,0.001262802,200,0.338388432,1.12E-05,0.617315675,0.008769137,0.628622257,0.001284078,0.602174343,0.002541393,3,7.6,0.630361732,0.63525188,0.565843052
65,845,0,cyclic,2dpos,onehot,NN,24,10000,1,512,,,0.001061748,500,0.473914833,2.60E-05,0.61544574,0.010943117,0.629491994,0.001330407,0.59379324,0.004516173,3.38,9.4,0.630954734,0.631420018,0.562364104
66,846,0,cyclic,elliptic,5FTE,NN,,,2,256,512,,0.010334574,400,0.265521804,0.000232522,0.605518877,0.016891055,0.618817948,0.00208068,0.570428939,0.034391707,4.18,6.8,0.621071358,0.650076729,0.556987547
67,847,0,cyclic,elliptic,WTE,NN,,,3,512,128,128,0.002034141,400,0.364602916,0.000393915,0.606538842,0.013461561,0.618145879,0.001824547,0.575726428,0.021622062,4.58,7.8,0.620676023,0.649456885,0.556750346
68,848,0,cyclic,elliptic,onehot,NN,,,2,256,512,,0.005301148,400,0.42720298,3.97E-05,0.604151018,0.008022636,0.61387626,0.001182706,0.58545167,0.003450417,4.94,8.6,0.615734335,0.652569571,0.554971338
69,849,0,cyclic,polar,5FTE,NN,,,2,256,512,,0.005325798,500,0.266900065,0.000538721,0.604269619,0.011582076,0.616801739,0.000534068,0.579679779,0.009425653,4.1,9,0.617513343,0.64875337,0.56378731
