Index,globalInd,opt,timeOpt,locOpt,catOpt,modelOpt,encDim,denom,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,max_samples,objmean,objsd,meantop5,sdtop5,meanbottom5,sdbottom5,meantime,long5time,bestobj,wf1top5,acctop5
93,327,0,raw,2dpos,WTE,RF,24,2500,650,45,5,1,sqrt,0.600040073,0.617121961,0.023728589,0.629926863,0.000380221,0.552915596,0.027494409,9.14,13.4,0.630559399,0.656897182,0.583474995
94,328,0,raw,2dpos,WTE,RF,24,5000,750,30,8,2,sqrt,0.927888751,0.618865388,0.023150908,0.63146867,0.000954143,0.559320024,0.034362496,8.08,13.6,0.633129077,0.657501822,0.584502866
95,329,0,raw,2dpos,WTE,RF,24,10000,300,25,2,1,sqrt,0.862765972,0.620561376,0.019172943,0.633089543,0.000899333,0.573314884,0.032851367,5.58,12.2,0.634117415,0.656193266,0.582565724
96,330,0,raw,2dpos,onehot,RF,8,2500,600,50,7,3,sqrt,0.820527148,0.618671674,0.025711638,0.633919747,0.000395335,0.549634315,0.024148468,7.32,19.2,0.63451275,0.660515073,0.586835343
97,331,0,raw,2dpos,onehot,RF,8,5000,200,35,7,2,sqrt,0.806983185,0.619743032,0.025415589,0.63451275,0.001762458,0.549515715,0.023226985,5.54,11.8,0.63688476,0.661099389,0.587072544
98,332,0,raw,2dpos,onehot,RF,8,10000,500,25,8,1,sqrt,0.748974252,0.617718917,0.025819151,0.633563945,0.001077243,0.548408776,0.023962082,6.18,10.4,0.634908085,0.660305909,0.586677209
99,333,0,raw,2dpos,onehot,RF,16,2500,300,45,2,1,sqrt,0.731104011,0.620486262,0.024857523,0.635026685,0.00109701,0.555366673,0.028780011,5.38,11.6,0.63688476,0.657296932,0.584344732
100,334,0,raw,2dpos,onehot,RF,16,5000,850,30,9,1,log2,0.878410799,0.620154181,0.025397063,0.632417474,0.000225376,0.552362127,0.031974089,9.58,14.4,0.632733742,0.658186842,0.584067998
101,335,0,raw,2dpos,onehot,RF,16,10000,450,40,4,3,sqrt,0.963631348,0.621284839,0.024042279,0.63395928,0.0009208,0.556157343,0.028438236,6.42,13,0.63530342,0.658912519,0.585174936
102,336,0,raw,2dpos,onehot,RF,24,2500,550,40,2,1,sqrt,0.761419168,0.61912631,0.024896353,0.633326744,0.00094798,0.554101601,0.033006748,6.86,13,0.634908085,0.657694443,0.583198261
103,337,0,raw,2dpos,onehot,RF,24,5000,750,25,8,2,sqrt,0.923128731,0.619078547,0.024641335,0.632101206,0.000405098,0.554892271,0.032462761,9.612244898,15.6,0.632536074,0.658918547,0.584858668
104,338,0,raw,2dpos,onehot,RF,24,10000,1000,40,5,1,sqrt,0.753141001,0.61990512,0.025279506,0.634354616,0.000807781,0.552203993,0.030069382,9.58,16.8,0.63530342,0.658866411,0.58533307
105,339,0,raw,elliptic,5FTE,RF,,,500,30,7,2,log2,0.77826501,0.617011267,0.023061141,0.630124531,0.0009208,0.551452856,0.001336268,5.86,11.4,0.631745404,0.664434555,0.57924491
