Index,globalInd,opt,timeOpt,locOpt,catOpt,modelOpt,encDim,denom,C,penalty,class_weight,objmean,objsd,meantop5,sdtop5,meanbottom5,sdbottom5,meantime,long5time,bestobj,wf1top5,acctop5
171,1185,1,cyclic,2dpos,WTE,LR,24.0,2500.0,0.1071592156618838,l2,,0.5575924095671081,0.055137981727659,0.5797983791263095,0.0002577269185689,0.4180272781182051,0.0923492852777594,0.0,0.0,0.5799565131448903,0.6395360135072993,0.5234236015022731
172,1186,1,cyclic,2dpos,WTE,LR,24.0,5000.0,0.0701974745630127,l2,balanced,0.5675508993872307,0.0403765348977095,0.5795216445937933,0.0001653805152271,0.4810832180272781,0.097243421513733,0.0,0.0,0.5797588456216644,0.640111445348934,0.5238584700533703
45,1059,0,cyclic,2dpos,5FTE,LR,24.0,2500.0,0.6000981847312391,l2,,0.577371021941095,0.0093434659468113,0.5829215259932793,0.0001397720460933,0.5563945443763589,0.0185040452751946,0.02,0.2,0.5831191935165052,0.6447330418817292,0.5253212097252421
173,1187,1,cyclic,2dpos,WTE,LR,24.0,10000.0,1.2530432005579248,l1,,0.5688515516900573,0.0386785802827445,0.579679778612374,0.0002253756523224,0.4911642617118008,0.0988819214546825,0.0,0.0,0.5799565131448903,0.6416633999797249,0.5239770705673058
46,1060,0,cyclic,2dpos,5FTE,LR,24.0,5000.0,2.785050332800956,l2,,0.5629175726428148,0.0629676542234535,0.5831587270211505,0.0005116496977879,0.4112670488238782,0.1284621144136228,0.0,0.0,0.5837121960861831,0.6446466263913236,0.5254398102391777
174,1188,1,cyclic,2dpos,onehot,LR,8.0,2500.0,48.44191189809205,l2,balanced,0.5441114844830994,0.0582173110328797,0.5631152401660408,0.0002577269185689,0.4045858865388417,0.1190420062323223,0.0,0.0,0.5635501087171377,0.6372157213721545,0.5071753310931013
47,1061,0,cyclic,2dpos,5FTE,LR,24.0,10000.0,3.417915796412532,l2,balanced,0.5761019964419846,0.0142759341737523,0.5826447914607631,0.0004961415456813,0.5399486064439614,0.0247686950620249,0.0,0.0,0.5831191935165052,0.644124977149386,0.5249258746787904
175,1189,1,cyclic,2dpos,onehot,LR,8.0,5000.0,0.6418117850701209,l1,balanced,0.5567345325163076,0.0140455111719775,0.5629175726428148,0.0002577269185689,0.5196283850563352,0.0214482470492003,0.0,0.0,0.5633524411939118,0.6371398006856971,0.507293931607037
176,1190,1,cyclic,2dpos,onehot,LR,8.0,10000.0,0.054373464621031,l2,balanced,0.5559240956710813,0.0149663134046757,0.5632338406799763,0.0003307610304542,0.5153983000593003,0.0179837256490034,0.0,0.0,0.5637477762403638,0.6373782033896603,0.5073729986163273
48,1062,0,cyclic,2dpos,WTE,LR,8.0,2500.0,9830.889317573252,l1,balanced,0.5599841865981419,0.0160762015508514,0.5668313896026882,0.000108266961357,0.5145285629571061,0.0158405578253798,0.0,0.0,0.5669104566119787,0.6396918658414724,0.5116426171180074
